iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,37.1,nan,0.0,0.0091,95.0137,2.8814,0.0094,0.3097
1,16384,4096,0,39.6,nan,,-0.0028,0.1874,2.889,0.00048,0.0131
2,24576,6144,1,42.0,9.0,,-0.0023,0.1012,2.8886,0.00035,0.0038
3,32768,8192,8,44.4,11.875,,-0.0028,0.1105,2.8875,0.00052,0.0095
4,40960,10240,13,46.9,13.154,,-0.0021,0.0978,2.8888,0.0007,0.0095
5,49152,12288,16,49.3,14.25,,-0.0017,0.1078,2.8869,0.0009,0.0237
6,57344,14336,16,51.7,14.25,,-0.0038,0.0702,2.8814,0.00165,0.0709
7,65536,16384,21,54.2,14.286,,-0.0039,0.0816,2.8816,0.00127,0.0635
8,73728,18432,25,56.6,14.4,,-0.0047,0.0944,2.8762,0.00181,0.1061
9,81920,20480,29,59.1,14.586,,-0.0044,0.0935,2.879,0.00165,0.0996
10,90112,22528,32,61.5,14.969,,-0.004,0.0818,2.874,0.00139,0.0643
11,98304,24576,37,64.0,14.676,,-0.0054,0.0854,2.8709,0.00143,0.0701
12,106496,26624,41,66.4,14.756,,-0.0071,0.0704,2.8635,0.00166,0.0908
13,114688,28672,44,68.8,14.659,,-0.009,0.0668,2.8614,0.00197,0.1277
14,122880,30720,47,71.3,14.745,,-0.0103,0.067,2.8628,0.00204,0.1196
15,131072,32768,52,73.7,14.442,,-0.0123,0.0663,2.8567,0.00255,0.1752
16,139264,34816,56,76.2,14.589,,-0.0087,0.0839,2.8519,0.00161,0.0835
17,147456,36864,58,78.6,14.534,,-0.012,0.0686,2.8499,0.00244,0.1536
18,155648,38912,62,81.1,14.548,,-0.0128,0.0742,2.8462,0.00267,0.1573
19,163840,40960,66,83.5,14.773,,-0.012,0.066,2.8426,0.0019,0.1115
20,172032,43008,71,85.9,14.986,,-0.0113,0.0819,2.8378,0.00216,0.1299
21,180224,45056,74,88.4,15.081,,-0.0168,0.0479,2.8389,0.00249,0.1501
22,188416,47104,75,90.8,15.053,,-0.0131,0.0841,2.8348,0.00289,0.1665
23,196608,49152,80,93.3,15.2,,-0.0162,0.0613,2.8302,0.00223,0.1366
24,204800,51200,83,95.7,15.157,,-0.0203,0.0728,2.8155,0.00326,0.1917
25,212992,53248,89,98.1,15.337,,-0.0201,0.0623,2.8202,0.00279,0.1747
26,221184,55296,90,100.6,15.311,,-0.0195,0.0668,2.8064,0.00304,0.1946
27,229376,57344,95,103.0,15.389,,-0.0216,0.0583,2.8048,0.00357,0.2043
28,237568,59392,98,105.5,15.439,,-0.0183,0.0709,2.7956,0.00366,0.2239
29,245760,61440,103,107.9,15.62,,-0.0218,0.0677,2.8019,0.00388,0.2289
30,253952,63488,106,110.3,15.84,,-0.0235,0.0548,2.7934,0.00382,0.2346
31,262144,65536,109,112.8,15.84,,-0.0225,0.0609,2.783,0.00445,0.2466
32,270336,67584,114,115.2,15.71,,-0.0252,0.0523,2.7799,0.00484,0.2692
33,278528,69632,118,117.7,15.59,,-0.0228,0.0663,2.7731,0.00385,0.2426
34,286720,71680,120,120.1,15.67,,-0.0235,0.0594,2.7684,0.00478,0.2466
35,294912,73728,124,122.5,15.75,,-0.0237,0.0548,2.7642,0.00537,0.2872
36,303104,75776,126,124.9,15.82,,-0.024,0.0511,2.7514,0.00472,0.2567
37,311296,77824,132,127.4,15.8,,-0.0229,0.0666,2.7586,0.00528,0.2902
38,319488,79872,135,129.8,16.01,,-0.023,0.0617,2.7745,0.00546,0.3077
39,327680,81920,137,132.3,16.04,,-0.0275,0.0598,2.7635,0.00553,0.286
40,335872,83968,141,134.7,16.12,,-0.0264,0.0622,2.7725,0.00517,0.2758
41,344064,86016,146,137.2,16.2,,-0.0226,0.0812,2.7624,0.00382,0.2231
42,352256,88064,148,139.6,16.37,,-0.0259,0.0779,2.7588,0.00431,0.2476
43,360448,90112,153,142.0,16.63,,-0.026,0.0499,2.7656,0.00451,0.2466
44,368640,92160,156,144.5,16.53,,-0.0228,0.08,2.7447,0.0053,0.2877
45,376832,94208,159,146.9,16.68,,-0.0229,0.0719,2.7303,0.00515,0.2904
46,385024,96256,162,149.3,16.7,,-0.026,0.0683,2.7157,0.00517,0.2928
47,393216,98304,165,151.8,16.81,,-0.0284,0.0697,2.6997,0.00534,0.2926
48,401408,100352,172,154.2,16.9,,-0.0279,0.0651,2.7098,0.00559,0.2771
49,409600,102400,175,156.7,16.94,,-0.0289,0.0627,2.7159,0.0076,0.3392
50,417792,104448,177,159.1,16.96,,-0.0234,0.0773,2.699,0.00686,0.3477
51,425984,106496,180,161.5,16.81,,-0.0294,0.0595,2.676,0.00703,0.3308
52,434176,108544,184,164.0,16.86,,-0.0254,0.0691,2.6769,0.00672,0.3353
53,442368,110592,188,166.4,16.92,,-0.0274,0.0603,2.6783,0.00622,0.323
54,450560,112640,191,168.9,17.1,,-0.0276,0.053,2.6753,0.00608,0.3037
55,458752,114688,195,171.3,17.15,,-0.0285,0.0697,2.6398,0.0068,0.3358
56,466944,116736,203,173.8,17.12,,-0.0252,0.0883,2.6628,0.00569,0.3114
57,475136,118784,205,176.2,16.98,,-0.0294,0.066,2.6585,0.00749,0.366
58,483328,120832,206,178.6,16.96,,-0.028,0.064,2.6432,0.00707,0.348
59,491520,122880,210,181.0,17.1,,-0.0304,0.0631,2.5989,0.00824,0.3687
60,499712,124928,214,183.5,17.09,,-0.0275,0.0825,2.579,0.00677,0.3457
61,507904,126976,220,186.0,17.39,,-0.028,0.0831,2.5897,0.00648,0.3434
62,516096,129024,221,188.4,17.37,,-0.0284,0.0686,2.6195,0.00718,0.3646
63,524288,131072,225,190.8,17.29,,-0.0305,0.07,2.5982,0.00854,0.3611
