iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,2397.9,nan,0.0,0.0153,177.841,2.8776,0.01137,0.3313
1,16384,4096,0,2400.6,nan,,-0.0041,0.1978,2.8884,0.00136,0.0826
2,24576,6144,0,2403.3,nan,,-0.0031,0.1048,2.8877,0.00107,0.0388
3,32768,8192,0,2405.9,nan,,-0.002,0.0782,2.8865,0.00043,0.0043
4,40960,10240,0,2408.5,nan,,-0.0037,0.0435,2.8853,0.00099,0.0293
5,49152,12288,0,2411.1,nan,,-0.004,0.0309,2.8862,0.00116,0.0631
6,57344,14336,1,2413.8,6.0,,-0.0028,0.0278,2.8837,0.00061,0.0137
7,65536,16384,5,2416.4,6.0,,-0.0044,0.0359,2.8805,0.00105,0.0426
8,73728,18432,7,2419.1,6.571,,-0.0049,0.03,2.8756,0.00162,0.0734
9,81920,20480,8,2421.7,7.125,,-0.0052,0.0341,2.8707,0.00121,0.0663
10,90112,22528,8,2424.4,7.125,,-0.0077,0.0257,2.877,0.00186,0.1038
11,98304,24576,9,2427.0,7.778,,-0.01,0.0114,2.8705,0.00154,0.0857
12,106496,26624,10,2429.7,8.4,,-0.0103,0.0241,2.8774,0.00212,0.1201
13,114688,28672,15,2432.3,10.2,,-0.0102,0.0321,2.8717,0.00193,0.1072
14,122880,30720,15,2435.0,10.2,,-0.0131,0.0388,2.8671,0.0023,0.1343
15,131072,32768,17,2437.6,9.588,,-0.0178,0.025,2.8565,0.00255,0.1552
16,139264,34816,18,2440.3,10.056,,-0.0179,0.031,2.8528,0.00333,0.1827
17,147456,36864,19,2443.0,10.211,,-0.0183,0.0258,2.8578,0.00366,0.234
18,155648,38912,20,2445.6,10.3,,-0.0209,0.0266,2.8539,0.00372,0.2142
19,163840,40960,21,2448.3,10.19,,-0.0183,0.0256,2.8499,0.00372,0.2091
20,172032,43008,23,2450.9,10.0,,-0.0204,0.0262,2.8535,0.00364,0.2124
21,180224,45056,25,2453.6,9.92,,-0.0204,0.0295,2.8535,0.00382,0.2083
22,188416,47104,26,2456.2,10.038,,-0.0199,0.0284,2.8517,0.00332,0.1896
23,196608,49152,27,2458.9,10.259,,-0.0233,0.0306,2.8457,0.00357,0.2108
24,204800,51200,30,2461.5,10.167,,-0.023,0.0352,2.8487,0.00369,0.2087
25,212992,53248,32,2464.2,10.188,,-0.0213,0.0258,2.8535,0.00421,0.2355
26,221184,55296,33,2466.8,10.333,,-0.02,0.032,2.8467,0.00485,0.2754
27,229376,57344,34,2469.5,10.471,,-0.0235,0.0297,2.8437,0.00478,0.2584
28,237568,59392,35,2472.1,10.486,,-0.023,0.0184,2.8446,0.00427,0.2432
29,245760,61440,36,2474.8,10.611,,-0.0234,0.0247,2.8316,0.0055,0.2938
30,253952,63488,36,2477.5,10.611,,-0.0248,0.0279,2.8266,0.00542,0.2855
31,262144,65536,37,2480.1,10.595,,-0.0245,0.0326,2.8341,0.00556,0.2739
32,270336,67584,38,2482.7,10.711,,-0.0269,0.0234,2.8318,0.00657,0.3263
33,278528,69632,40,2485.4,10.75,,-0.026,0.0318,2.8296,0.0054,0.2729
34,286720,71680,41,2488.1,10.829,,-0.0278,0.0259,2.8206,0.00633,0.3073
35,294912,73728,43,2490.7,10.721,,-0.0258,0.0275,2.8165,0.00643,0.3112
36,303104,75776,44,2493.4,10.614,,-0.0245,0.0313,2.814,0.00588,0.2924
37,311296,77824,44,2496.0,10.614,,-0.0259,0.0285,2.8161,0.00594,0.2954
38,319488,79872,44,2498.6,10.614,,-0.0259,0.0354,2.8062,0.00671,0.3033
39,327680,81920,48,2501.3,11.042,,-0.0281,0.0247,2.8205,0.00613,0.2914
40,335872,83968,52,2504.0,11.327,,-0.0258,0.0244,2.8149,0.00665,0.321
41,344064,86016,54,2506.7,11.148,,-0.027,0.0348,2.7852,0.00702,0.3292
42,352256,88064,54,2509.3,11.148,,-0.0236,0.0323,2.7864,0.00765,0.3483
43,360448,90112,55,2511.9,11.127,,-0.0247,0.0182,2.7849,0.0069,0.3201
44,368640,92160,55,2514.6,11.127,,-0.0275,0.0358,2.777,0.00717,0.3469
45,376832,94208,57,2517.2,11.123,,-0.0255,0.0174,2.7791,0.0074,0.3352
46,385024,96256,58,2519.9,11.069,,-0.0274,0.0251,2.7669,0.00808,0.3473
47,393216,98304,60,2522.6,10.983,,-0.0262,0.0287,2.7579,0.00767,0.3567
48,401408,100352,61,2525.2,10.984,,-0.0254,0.0273,2.761,0.00811,0.3733
49,409600,102400,61,2527.9,10.984,,-0.0256,0.0238,2.7752,0.0087,0.3685
50,417792,104448,65,2530.5,10.969,,-0.0243,0.0283,2.7521,0.0085,0.3401
51,425984,106496,68,2533.2,11.0,,-0.0248,0.0246,2.7572,0.00842,0.3696
52,434176,108544,68,2535.8,11.0,,-0.0255,0.028,2.7464,0.00788,0.3478
53,442368,110592,69,2538.5,11.072,,-0.0284,0.0271,2.7373,0.0078,0.337
54,450560,112640,72,2541.1,11.056,,-0.0245,0.0246,2.753,0.00904,0.3757
55,458752,114688,73,2543.8,10.986,,-0.0277,0.0294,2.7551,0.00752,0.3228
56,466944,116736,75,2546.4,10.867,,-0.029,0.0288,2.7712,0.00753,0.3448
57,475136,118784,77,2549.1,10.883,,-0.0288,0.0251,2.7614,0.00847,0.356
58,483328,120832,77,2551.8,10.883,,-0.0295,0.0295,2.7445,0.00907,0.3566
59,491520,122880,78,2554.4,10.936,,-0.0281,0.0227,2.7447,0.0084,0.3629
60,499712,124928,79,2557.1,10.924,,-0.0262,0.0302,2.733,0.00862,0.3625
61,507904,126976,82,2559.7,10.915,,-0.0286,0.0211,2.747,0.00958,0.351
62,516096,129024,83,2562.4,10.952,,-0.03,0.0275,2.7122,0.0088,0.3549
63,524288,131072,86,2565.0,10.93,,-0.0291,0.0305,2.7123,0.01107,0.374
64,532480,133120,86,2567.7,10.93,,-0.0293,0.0286,2.7126,0.00979,0.3666
65,540672,135168,90,2570.3,10.878,,-0.027,0.02,2.7465,0.0101,0.3888
66,548864,137216,91,2573.0,10.89,,-0.0317,0.0358,2.7017,0.00908,0.3679
67,557056,139264,92,2575.7,10.913,,-0.0303,0.024,2.7309,0.0107,0.3763
68,565248,141312,94,2578.3,10.883,,-0.0244,0.0219,2.7227,0.01171,0.4124
69,573440,143360,94,2580.9,10.883,,-0.0302,0.0272,2.6804,0.0115,0.4282
70,581632,145408,94,2583.6,10.883,,-0.0283,0.0281,2.723,0.0107,0.3917
71,589824,147456,97,2586.2,11.0,,-0.0273,0.0242,2.7444,0.00993,0.3665
72,598016,149504,100,2588.9,10.95,,-0.0256,0.0253,2.7365,0.01109,0.3721
73,606208,151552,103,2591.5,11.03,,-0.0285,0.0279,2.7175,0.01012,0.3975
74,614400,153600,105,2594.2,11.05,,-0.0301,0.0377,2.7123,0.01009,0.3938
75,622592,155648,106,2596.9,11.03,,-0.0292,0.0365,2.7164,0.00872,0.3503
76,630784,157696,106,2599.5,11.03,,-0.0283,0.0275,2.7193,0.01032,0.3811
77,638976,159744,107,2602.2,11.07,,-0.028,0.0256,2.7076,0.01186,0.4119
78,647168,161792,108,2604.8,11.11,,-0.0304,0.0314,2.6761,0.01263,0.4351
79,655360,163840,109,2607.5,11.1,,-0.0308,0.0244,2.6825,0.01209,0.3853
80,663552,165888,110,2610.1,11.05,,-0.0271,0.0286,2.6628,0.01223,0.4124
81,671744,167936,113,2612.8,10.85,,-0.0314,0.0264,2.6685,0.01048,0.3832
82,679936,169984,113,2615.4,10.85,,-0.0286,0.0336,2.6462,0.01389,0.4458
83,688128,172032,116,2618.1,10.87,,-0.0298,0.0295,2.6181,0.01201,0.4167
84,696320,174080,118,2620.8,10.9,,-0.0285,0.036,2.6058,0.01264,0.4393
85,704512,176128,119,2623.4,10.92,,-0.0307,0.0315,2.6402,0.011,0.3911
86,712704,178176,121,2626.0,11.01,,-0.0299,0.0317,2.5907,0.01437,0.4419
87,720896,180224,123,2628.7,11.12,,-0.0287,0.0319,2.5221,0.0131,0.4244
88,729088,182272,123,2631.4,11.12,,-0.03,0.0361,2.5155,0.01446,0.4619
89,737280,184320,125,2634.0,11.18,,-0.029,0.0291,2.5517,0.01343,0.4089
90,745472,186368,126,2636.7,11.11,,-0.0295,0.0243,2.5485,0.01375,0.4132
91,753664,188416,128,2639.3,11.07,,-0.0292,0.0247,2.5822,0.01504,0.4413
92,761856,190464,130,2642.0,11.12,,-0.0313,0.0345,2.5968,0.01301,0.4166
93,770048,192512,132,2644.6,11.19,,-0.0299,0.0302,2.6083,0.01392,0.4247
94,778240,194560,133,2647.3,11.15,,-0.0293,0.0218,2.6391,0.01365,0.4379
95,786432,196608,135,2650.0,11.08,,-0.03,0.028,2.5827,0.01383,0.4257
96,794624,198656,136,2652.6,10.99,,-0.0311,0.0371,2.5998,0.01474,0.4288
97,802816,200704,138,2655.3,11.04,,-0.0297,0.0288,2.6498,0.01336,0.3866
98,811008,202752,138,2657.9,11.04,,-0.0293,0.0318,2.6392,0.01321,0.4342
99,819200,204800,139,2660.6,11.16,,-0.0298,0.0304,2.6557,0.01251,0.3923
100,827392,206848,141,2797.5,11.13,624.760009765625,-0.0288,0.0326,2.6683,0.01233,0.3855
101,835584,208896,142,2800.1,11.1,,-0.0287,0.029,2.6614,0.01375,0.3993
102,843776,210944,145,2802.8,11.21,,-0.0328,0.0296,2.6218,0.01411,0.4285
103,851968,212992,148,2805.5,11.0,,-0.0307,0.032,2.6072,0.01306,0.4193
104,860160,215040,150,2808.1,11.03,,-0.0286,0.0356,2.6372,0.01328,0.4259
105,868352,217088,152,2810.8,11.01,,-0.0314,0.0342,2.6175,0.01352,0.4182
106,876544,219136,152,2813.4,11.01,,-0.0343,0.038,2.6358,0.01264,0.3959
107,884736,221184,152,2816.0,11.01,,-0.0325,0.0403,2.6408,0.01405,0.4423
108,892928,223232,152,2818.6,11.01,,-0.0298,0.0301,2.6615,0.01294,0.3966
109,901120,225280,155,2821.3,10.96,,-0.0328,0.0322,2.621,0.01394,0.4075
110,909312,227328,155,2823.9,10.96,,-0.0324,0.035,2.5958,0.01464,0.4481
111,917504,229376,159,2826.6,11.2,,-0.0307,0.0328,2.6239,0.01433,0.4542
112,925696,231424,159,2829.2,11.2,,-0.0318,0.0296,2.5875,0.01369,0.4165
113,933888,233472,160,2831.9,11.19,,-0.0285,0.036,2.604,0.0139,0.4497
114,942080,235520,165,2834.5,11.51,,-0.0316,0.0312,2.6064,0.01324,0.4174
115,950272,237568,168,2837.2,11.66,,-0.0308,0.0369,2.534,0.01523,0.4586
116,958464,239616,168,2839.9,11.66,,-0.0337,0.0334,2.4934,0.01368,0.4237
117,966656,241664,168,2842.5,11.66,,-0.0338,0.0406,2.4597,0.01314,0.4086
118,974848,243712,168,2845.1,11.66,,-0.0289,0.0274,2.5806,0.0155,0.406
119,983040,245760,168,2847.8,11.66,,-0.0312,0.0346,2.5612,0.01519,0.4303
120,991232,247808,169,2850.4,11.68,,-0.028,0.0336,2.5758,0.01539,0.4127
121,999424,249856,172,2853.0,11.7,,-0.0299,0.0398,2.579,0.01523,0.4257
122,1007616,251904,176,2855.7,11.89,,-0.0294,0.0314,2.6007,0.01355,0.4082
123,1015808,253952,179,2858.4,11.87,,-0.0315,0.043,2.5034,0.01368,0.4288
124,1024000,256000,182,2861.0,12.04,,-0.0295,0.0317,2.5455,0.0153,0.4282
125,1032192,258048,183,2863.7,12.05,,-0.0343,0.0464,2.4879,0.01444,0.4412
126,1040384,260096,184,2866.3,12.05,,-0.0325,0.03,2.5546,0.01406,0.4089
127,1048576,262144,184,2869.0,12.05,,-0.032,0.036,2.5279,0.01437,0.4463
128,1056768,264192,185,2871.6,12.02,,-0.0291,0.0335,2.5668,0.01503,0.4358
129,1064960,266240,186,2874.2,11.99,,-0.0312,0.0366,2.5426,0.01688,0.4425
130,1073152,268288,188,2876.9,11.98,,-0.0322,0.0306,2.5597,0.01564,0.4108
131,1081344,270336,190,2879.5,11.97,,-0.0297,0.0295,2.5389,0.01671,0.4396
132,1089536,272384,191,2882.2,11.98,,-0.0315,0.0312,2.5408,0.01524,0.4534
133,1097728,274432,194,2884.8,12.0,,-0.0311,0.0276,2.5625,0.01567,0.424
134,1105920,276480,194,2887.5,12.0,,-0.0341,0.0362,2.5043,0.01691,0.4788
135,1114112,278528,195,2890.1,11.94,,-0.0349,0.0274,2.5109,0.01604,0.4523
136,1122304,280576,197,2892.8,12.06,,-0.0302,0.0354,2.532,0.01532,0.4366
137,1130496,282624,198,2895.4,12.02,,-0.0316,0.0293,2.5753,0.01519,0.4343
138,1138688,284672,201,2898.1,12.3,,-0.0275,0.032,2.5415,0.01767,0.4677
139,1146880,286720,201,2900.7,12.3,,-0.0315,0.04,2.533,0.01531,0.4465
140,1155072,288768,201,2903.3,12.3,,-0.0333,0.0384,2.5125,0.01612,0.4481
141,1163264,290816,204,2906.0,12.59,,-0.0299,0.0283,2.5751,0.01626,0.4065
142,1171456,292864,205,2908.6,12.65,,-0.0302,0.0357,2.541,0.01727,0.4823
143,1179648,294912,206,2911.3,12.66,,-0.029,0.0355,2.5342,0.01679,0.4556
144,1187840,296960,211,2913.9,12.91,,-0.0281,0.0389,2.5596,0.01523,0.4379
145,1196032,299008,213,2916.6,13.06,,-0.0297,0.0277,2.5182,0.01728,0.4447
146,1204224,301056,213,2919.2,13.06,,-0.0314,0.0488,2.4719,0.019,0.4961
147,1212416,303104,214,2921.9,13.03,,-0.0288,0.0299,2.5561,0.01675,0.4456
148,1220608,305152,215,2924.5,13.05,,-0.0279,0.0263,2.5784,0.01484,0.4204
149,1228800,307200,215,2927.1,13.05,,-0.0267,0.0271,2.5696,0.01926,0.4536
150,1236992,309248,218,2929.8,13.14,,-0.0303,0.0348,2.5482,0.01763,0.4158
151,1245184,311296,219,2932.4,13.05,,-0.0292,0.0304,2.5598,0.01613,0.4407
152,1253376,313344,221,2935.1,13.03,,-0.0328,0.0301,2.5334,0.01666,0.4805
153,1261568,315392,223,2937.7,13.07,,-0.0293,0.0304,2.5555,0.01794,0.4597
154,1269760,317440,224,2940.4,13.09,,-0.0275,0.0402,2.5683,0.01666,0.4652
155,1277952,319488,226,2943.0,13.23,,-0.0306,0.0356,2.5836,0.01456,0.4554
156,1286144,321536,227,2945.7,13.3,,-0.0311,0.0309,2.6056,0.01375,0.4208
157,1294336,323584,228,2948.3,13.42,,-0.0319,0.0306,2.5923,0.0153,0.4432
158,1302528,325632,229,2950.9,13.44,,-0.0286,0.0416,2.5816,0.01579,0.4696
159,1310720,327680,229,2953.6,13.44,,-0.0338,0.0304,2.6009,0.01391,0.4187
160,1318912,329728,233,2956.3,13.51,,-0.0311,0.028,2.583,0.01455,0.4397
161,1327104,331776,234,2958.9,13.57,,-0.0325,0.0392,2.5838,0.01734,0.444
162,1335296,333824,235,2961.6,13.61,,-0.0325,0.0328,2.5605,0.01532,0.4521
163,1343488,335872,237,2964.2,13.63,,-0.0258,0.0315,2.5746,0.01734,0.4497
164,1351680,337920,238,2966.8,13.56,,-0.03,0.0412,2.53,0.01606,0.4812
