iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,228.9,nan,-30.0,0.0599,558.7417,2.8257,0.07706,0.4946
1,16384,4096,0,232.0,nan,,0.0021,0.6294,2.8747,0.00521,0.3793
2,24576,6144,0,235.1,nan,,-0.0029,0.2706,2.8805,0.00253,0.1514
3,32768,8192,0,238.2,nan,,-0.0034,0.1476,2.8797,0.00244,0.1862
4,40960,10240,0,241.3,nan,,-0.0043,0.1187,2.8846,0.0017,0.1155
5,49152,12288,0,244.4,nan,,-0.0029,0.1986,2.8819,0.00126,0.088
6,57344,14336,0,247.5,nan,,-0.0023,0.2193,2.8834,0.00095,0.0282
7,65536,16384,0,250.6,nan,,-0.0022,0.194,2.8801,0.00079,0.0267
8,73728,18432,0,253.8,nan,,-0.0037,0.1599,2.8702,0.00163,0.0935
9,81920,20480,0,256.9,nan,,-0.0026,0.1566,2.8673,0.00194,0.1
10,90112,22528,0,260.0,nan,,-0.0038,0.1214,2.8587,0.00212,0.1216
11,98304,24576,0,263.2,nan,,-0.003,0.1239,2.8635,0.00122,0.0685
12,106496,26624,0,266.3,nan,,-0.0029,0.0966,2.8687,0.00128,0.0706
13,114688,28672,16,269.7,1.562,,-0.0035,0.1146,2.8705,0.00154,0.0908
14,122880,30720,16,272.8,1.562,,-0.0034,0.1031,2.8759,0.0012,0.0411
15,131072,32768,16,275.9,1.562,,-0.0035,0.1366,2.8793,0.00127,0.057
16,139264,34816,16,279.0,1.562,,-0.0045,0.1417,2.8778,0.00139,0.0658
17,147456,36864,16,282.1,1.562,,-0.0036,0.2246,2.8706,0.0019,0.1088
18,155648,38912,16,285.2,1.562,,-0.0065,0.1453,2.8702,0.00189,0.116
19,163840,40960,16,288.3,1.562,,-0.0044,0.1071,2.8687,0.00161,0.0872
20,172032,43008,16,291.4,1.562,,-0.0031,0.2105,2.864,0.0018,0.1031
21,180224,45056,16,294.6,1.562,,-0.0038,0.1927,2.8657,0.00182,0.0996
22,188416,47104,16,297.7,1.562,,-0.004,0.1477,2.8641,0.00154,0.0844
23,196608,49152,16,300.9,1.562,,-0.0078,0.1237,2.8634,0.00239,0.1534
24,204800,51200,16,304.0,1.562,,-0.0077,0.1125,2.8581,0.00187,0.1023
25,212992,53248,16,307.1,1.562,,-0.0087,0.1883,2.8514,0.00217,0.1311
26,221184,55296,16,310.3,1.562,,-0.0063,0.1543,2.8531,0.00233,0.1448
27,229376,57344,32,313.6,1.406,,-0.0074,0.1205,2.8388,0.00244,0.1447
28,237568,59392,32,316.7,1.406,,-0.0098,0.1214,2.827,0.00292,0.1846
29,245760,61440,32,319.8,1.406,,-0.0091,0.0836,2.8269,0.00263,0.1521
30,253952,63488,32,322.9,1.406,,-0.0094,0.1115,2.8075,0.00269,0.1719
31,262144,65536,32,326.0,1.406,,-0.01,0.101,2.7945,0.00365,0.2083
32,270336,67584,32,329.1,1.406,,-0.0072,0.1108,2.805,0.00329,0.1989
33,278528,69632,32,332.2,1.406,,-0.0125,0.1254,2.7868,0.00375,0.2029
34,286720,71680,32,335.4,1.406,,-0.0106,0.1512,2.76,0.00359,0.2137
35,294912,73728,32,338.5,1.406,,-0.012,0.1828,2.7772,0.00386,0.2189
36,303104,75776,32,341.6,1.406,,-0.0128,0.1079,2.7704,0.00374,0.2185
37,311296,77824,32,344.8,1.406,,-0.0105,0.0887,2.7963,0.00376,0.2239
38,319488,79872,32,347.9,1.406,,-0.0115,0.1355,2.7596,0.00319,0.1875
39,327680,81920,32,351.0,1.406,,-0.0148,0.0985,2.7413,0.00379,0.2286
40,335872,83968,32,354.2,1.406,,-0.0108,0.1717,2.7012,0.0039,0.2317
41,344064,86016,48,357.5,1.583,,-0.0122,0.1024,2.7439,0.00442,0.2672
42,352256,88064,48,360.6,1.583,,-0.0135,0.1237,2.7589,0.00362,0.2211
43,360448,90112,48,363.7,1.583,,-0.016,0.0837,2.7213,0.00379,0.2469
44,368640,92160,48,366.8,1.583,,-0.0171,0.1083,2.731,0.00373,0.2222
45,376832,94208,48,369.9,1.583,,-0.0136,0.1493,2.7393,0.00371,0.2213
46,385024,96256,48,373.0,1.583,,-0.0164,0.0976,2.7259,0.0045,0.2609
47,393216,98304,48,376.1,1.583,,-0.0164,0.1052,2.6986,0.00516,0.2993
48,401408,100352,48,379.3,1.583,,-0.0168,0.1616,2.6623,0.00442,0.2556
49,409600,102400,48,382.4,1.583,,-0.0194,0.1186,2.6609,0.00589,0.3271
50,417792,104448,48,385.5,1.583,,-0.0158,0.159,2.6244,0.0077,0.3676
51,425984,106496,48,388.6,1.583,,-0.016,0.1258,2.6479,0.00621,0.3304
52,434176,108544,48,391.8,1.583,,-0.019,0.1004,2.6144,0.00667,0.337
53,442368,110592,48,394.9,1.583,,-0.0191,0.0949,2.5957,0.00628,0.3278
54,450560,112640,48,398.1,1.583,,-0.0185,0.1372,2.6062,0.00643,0.3257
55,458752,114688,64,401.4,2.172,,-0.0187,0.0931,2.6692,0.00577,0.3203
56,466944,116736,64,404.5,2.172,,-0.019,0.0705,2.7319,0.00636,0.3062
57,475136,118784,64,407.6,2.172,,-0.0207,0.0838,2.6849,0.00589,0.3077
58,483328,120832,64,410.7,2.172,,-0.0183,0.1061,2.6677,0.007,0.344
59,491520,122880,64,413.8,2.172,,-0.0219,0.1188,2.6552,0.00545,0.2985
60,499712,124928,64,416.9,2.172,,-0.0215,0.0856,2.6613,0.00656,0.3417
61,507904,126976,64,420.0,2.172,,-0.0224,0.0899,2.6632,0.00663,0.3335
62,516096,129024,64,423.1,2.172,,-0.0199,0.1118,2.6421,0.00638,0.3159
63,524288,131072,64,426.3,2.172,,-0.0207,0.1392,2.6843,0.00774,0.3721
64,532480,133120,64,429.4,2.172,,-0.0229,0.1193,2.69,0.00642,0.3439
65,540672,135168,64,432.5,2.172,,-0.0228,0.1517,2.646,0.00817,0.366
66,548864,137216,64,435.6,2.172,,-0.0232,0.1588,2.684,0.00781,0.3682
67,557056,139264,64,438.8,2.172,,-0.0214,0.1972,2.6542,0.00803,0.3628
68,565248,141312,64,441.9,2.172,,-0.0197,0.1364,2.6719,0.00871,0.3933
69,573440,143360,80,445.3,2.413,,-0.0268,0.0963,2.6872,0.0067,0.3274
70,581632,145408,80,448.4,2.413,,-0.0204,0.121,2.7367,0.0064,0.3195
71,589824,147456,80,451.5,2.413,,-0.0225,0.1684,2.7011,0.00736,0.3391
72,598016,149504,80,454.6,2.413,,-0.0203,0.2381,2.6819,0.00798,0.3491
73,606208,151552,80,457.7,2.413,,-0.0208,0.1342,2.6809,0.00611,0.3168
74,614400,153600,80,460.8,2.413,,-0.0242,0.1078,2.6695,0.00668,0.3287
75,622592,155648,80,463.9,2.413,,-0.0207,0.0983,2.7111,0.00711,0.3516
76,630784,157696,80,467.0,2.413,,-0.0183,0.1556,2.6901,0.00776,0.373
77,638976,159744,80,470.2,2.413,,-0.0232,0.1592,2.7045,0.00665,0.3152
78,647168,161792,80,473.3,2.413,,-0.0247,0.1095,2.6854,0.00805,0.3518
79,655360,163840,80,476.5,2.413,,-0.0244,0.1507,2.6982,0.00808,0.364
80,663552,165888,80,479.6,2.413,,-0.0274,0.1357,2.7054,0.0074,0.3439
81,671744,167936,80,482.7,2.413,,-0.0246,0.1487,2.6723,0.00846,0.3734
82,679936,169984,80,485.9,2.413,,-0.0178,0.1798,2.6764,0.00845,0.3806
83,688128,172032,96,489.3,2.354,,-0.0246,0.1401,2.6759,0.00845,0.356
84,696320,174080,96,492.3,2.354,,-0.0262,0.0908,2.7337,0.00886,0.3756
85,704512,176128,96,495.4,2.354,,-0.026,0.1085,2.7291,0.00843,0.3689
86,712704,178176,96,498.5,2.354,,-0.0285,0.0953,2.6932,0.01036,0.4065
87,720896,180224,96,501.6,2.354,,-0.0269,0.137,2.7249,0.00929,0.3989
88,729088,182272,96,504.8,2.354,,-0.0299,0.0977,2.7221,0.00934,0.403
89,737280,184320,96,507.9,2.354,,-0.0267,0.1113,2.7176,0.00901,0.3845
90,745472,186368,96,511.0,2.354,,-0.0306,0.118,2.7192,0.00927,0.3966
91,753664,188416,96,514.2,2.354,,-0.0275,0.1193,2.6832,0.00987,0.4059
92,761856,190464,96,517.3,2.354,,-0.0281,0.1147,2.7179,0.00986,0.4163
93,770048,192512,96,520.4,2.354,,-0.0295,0.1172,2.6947,0.01067,0.4064
94,778240,194560,96,523.6,2.354,,-0.0257,0.1691,2.6721,0.01001,0.3975
95,786432,196608,96,526.7,2.354,,-0.0257,0.1357,2.6758,0.01071,0.4139
96,794624,198656,96,529.8,2.354,,-0.0286,0.178,2.6702,0.01039,0.4113
97,802816,200704,112,533.2,2.69,,-0.0233,0.1573,2.6444,0.01172,0.4337
98,811008,202752,112,536.3,2.69,,-0.022,0.1509,2.6595,0.01193,0.4452
