iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,2,31.5,0.0,2.240000009536743,0.0429,385.7563,2.8475,0.04298,0.42
1,16384,4096,13,34.4,1.308,,-0.0045,0.1827,2.8795,0.00247,0.1783
2,24576,6144,24,37.3,1.458,,-0.0027,0.0668,2.8779,0.00147,0.0701
3,32768,8192,34,40.2,1.353,,-0.0021,0.0331,2.8725,0.00144,0.0682
4,40960,10240,48,43.1,1.417,,-0.0014,0.0641,2.8759,0.00054,0.0157
5,49152,12288,55,46.0,1.364,,-0.0011,0.0281,2.8751,0.00075,0.0222
6,57344,14336,68,48.9,1.485,,-0.0033,0.0298,2.8745,0.00131,0.0723
7,65536,16384,77,51.8,1.506,,-0.003,0.0238,2.8783,0.00109,0.0328
8,73728,18432,89,54.7,1.461,,-0.0029,0.0261,2.8662,0.00148,0.0685
9,81920,20480,99,57.6,1.495,,-0.0044,0.0185,2.8681,0.00146,0.0729
10,90112,22528,111,60.5,1.64,,-0.0051,0.0236,2.8584,0.00152,0.076
11,98304,24576,120,63.4,1.61,,-0.0061,0.0249,2.8454,0.00191,0.1149
12,106496,26624,131,66.3,1.64,,-0.0077,0.0187,2.8495,0.00218,0.1415
13,114688,28672,139,69.1,1.74,,-0.0077,0.0131,2.8554,0.0021,0.1224
14,122880,30720,148,72.0,1.83,,-0.0082,0.014,2.8406,0.00211,0.1392
15,131072,32768,159,74.9,1.91,,-0.0095,0.018,2.8335,0.00225,0.1404
16,139264,34816,167,77.8,1.88,,-0.0086,0.0123,2.8309,0.00233,0.1411
17,147456,36864,178,80.7,1.89,,-0.0085,0.0126,2.838,0.0023,0.1327
18,155648,38912,186,83.5,1.86,,-0.0114,0.0152,2.8158,0.00286,0.1918
19,163840,40960,198,86.4,2.04,,-0.0123,0.0124,2.8276,0.00255,0.1592
20,172032,43008,207,89.3,1.95,,-0.016,0.0111,2.827,0.0034,0.2051
21,180224,45056,217,92.2,1.92,,-0.0129,0.0198,2.8163,0.00269,0.1609
22,188416,47104,230,95.1,1.96,,-0.0135,0.0125,2.8257,0.00296,0.1732
23,196608,49152,236,97.9,1.89,,-0.0162,0.0147,2.8175,0.00344,0.2117
24,204800,51200,246,100.8,1.94,,-0.0171,0.0201,2.8049,0.00306,0.1688
25,212992,53248,257,103.7,1.95,,-0.0167,0.0185,2.8125,0.00307,0.1909
26,221184,55296,262,106.5,1.93,,-0.0177,0.0157,2.803,0.00416,0.2411
27,229376,57344,273,109.4,2.11,,-0.0197,0.0166,2.7958,0.00366,0.21
28,237568,59392,282,112.3,2.23,,-0.0199,0.0131,2.8113,0.00424,0.2377
29,245760,61440,290,115.2,2.18,,-0.0203,0.0176,2.7866,0.00499,0.2759
30,253952,63488,297,118.0,2.22,,-0.0212,0.0156,2.7729,0.00452,0.2452
31,262144,65536,306,120.9,2.34,,-0.0217,0.0176,2.7689,0.00509,0.2756
32,270336,67584,316,123.8,2.53,,-0.0225,0.0172,2.7604,0.00503,0.2811
33,278528,69632,324,126.6,2.55,,-0.0207,0.0132,2.7736,0.00452,0.2678
34,286720,71680,334,129.5,2.69,,-0.0224,0.0144,2.7714,0.00484,0.2679
35,294912,73728,345,132.4,2.69,,-0.0226,0.0185,2.7417,0.00567,0.2935
36,303104,75776,351,135.3,2.66,,-0.0208,0.0146,2.7286,0.00499,0.2808
37,311296,77824,359,138.1,2.74,,-0.0222,0.0148,2.7343,0.00543,0.2931
38,319488,79872,367,141.0,2.75,,-0.0246,0.0169,2.7177,0.00527,0.2756
39,327680,81920,375,143.8,2.65,,-0.0232,0.0153,2.7405,0.00549,0.2938
