iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,288.5,nan,0.0,0.0717,699.1907,2.8163,0.09986,0.5795
1,16384,4096,0,291.9,nan,,-0.0037,0.4988,2.8849,0.00319,0.2388
2,24576,6144,0,295.2,nan,,-0.0022,0.0191,2.8876,0.0014,0.0889
3,32768,8192,0,298.6,nan,,-0.0035,0.0011,2.8833,0.00198,0.1049
4,40960,10240,0,301.9,nan,,-0.0019,0.0002,2.8815,0.00088,0.0435
5,49152,12288,0,305.3,nan,,-0.0024,0.0001,2.8773,0.00147,0.0872
6,57344,14336,0,308.6,nan,,-0.0028,0.0002,2.8835,0.00174,0.0609
7,65536,16384,0,312.0,nan,,-0.0017,0.0002,2.8811,0.00057,0.0171
8,73728,18432,0,315.3,nan,,-0.002,0.0001,2.8824,0.00143,0.0682
9,81920,20480,0,318.7,nan,,-0.0015,0.0001,2.8792,0.00113,0.0352
10,90112,22528,0,322.0,nan,,-0.0026,0.0021,2.8809,0.00141,0.0511
11,98304,24576,0,325.4,nan,,-0.0009,0.0003,2.8852,0.00111,0.0133
12,106496,26624,0,328.7,nan,,-0.0036,0.0002,2.8843,0.0015,0.0854
13,114688,28672,0,332.1,nan,,-0.0028,0.0001,2.8837,0.00083,0.0378
14,122880,30720,0,335.4,nan,,-0.0022,0.0004,2.8835,0.00133,0.056
15,131072,32768,16,339.0,0.0,,-0.0012,0.0002,2.8827,0.00077,0.024
16,139264,34816,16,342.4,0.0,,-0.0014,0.0001,2.8782,0.00101,0.0308
17,147456,36864,16,345.7,0.0,,-0.0026,0.0001,2.8681,0.00154,0.0844
18,155648,38912,16,349.1,0.0,,-0.0015,0.0,2.8769,0.00134,0.0328
19,163840,40960,16,352.4,0.0,,-0.0037,0.0001,2.8714,0.00149,0.0957
20,172032,43008,16,355.8,0.0,,-0.0012,0.0,2.88,0.00069,0.0328
21,180224,45056,16,359.1,0.0,,-0.0021,0.0,2.8832,0.00081,0.0278
22,188416,47104,16,362.5,0.0,,-0.0034,0.0001,2.8756,0.00178,0.1003
23,196608,49152,16,365.8,0.0,,-0.0027,0.0017,2.8765,0.00151,0.0582
24,204800,51200,16,369.2,0.0,,-0.0037,0.0003,2.8726,0.00165,0.0944
25,212992,53248,16,372.5,0.0,,-0.0012,0.0001,2.8636,0.00118,0.0675
26,221184,55296,16,375.9,0.0,,-0.0019,0.0001,2.8755,0.00143,0.047
27,229376,57344,16,379.2,0.0,,-0.0006,0.0001,2.8742,0.00077,0.0353
28,237568,59392,16,382.6,0.0,,-0.0018,0.0001,2.8797,0.00109,0.0345
29,245760,61440,16,385.9,0.0,,-0.0028,0.0003,2.8809,0.00137,0.0382
30,253952,63488,16,389.3,0.0,,-0.0021,0.0,2.8851,0.00139,0.0443
31,262144,65536,32,392.9,0.0,,-0.0025,0.0006,2.8864,0.0014,0.0543
32,270336,67584,32,396.3,0.0,,-0.0015,0.0001,2.883,0.00113,0.0449
33,278528,69632,32,399.6,0.0,,-0.0012,0.0007,2.8776,0.00075,0.0291
34,286720,71680,32,403.0,0.0,,-0.0022,0.0005,2.8701,0.00156,0.0543
35,294912,73728,32,406.3,0.0,,-0.0024,0.0001,2.8588,0.00199,0.1113
36,303104,75776,32,409.7,0.0,,-0.0025,0.0,2.8775,0.0017,0.0587
37,311296,77824,32,413.0,0.0,,-0.0028,0.0,2.869,0.0012,0.0511
38,319488,79872,32,416.4,0.0,,-0.0027,0.0,2.8568,0.00163,0.074
39,327680,81920,32,419.7,0.0,,-0.0024,0.0,2.847,0.00145,0.079
40,335872,83968,32,423.1,0.0,,-0.002,0.0,2.856,0.00138,0.0657
41,344064,86016,32,426.4,0.0,,-0.0024,0.0,2.8626,0.00117,0.0973
42,352256,88064,32,429.8,0.0,,-0.0017,0.0,2.868,0.00061,0.0125
43,360448,90112,32,433.2,0.0,,-0.0024,0.0,2.8635,0.00165,0.0823
44,368640,92160,32,436.5,0.0,,-0.0021,0.0,2.8672,0.00093,0.0291
45,376832,94208,32,439.9,0.0,,-0.0033,0.0,2.8584,0.00149,0.1003
46,385024,96256,32,443.3,0.0,,-0.002,0.0,2.8675,0.00148,0.0852
47,393216,98304,48,446.9,0.0,,-0.0008,0.0,2.8675,0.0003,0.0002
48,401408,100352,48,450.2,0.0,,-0.0009,0.0,2.8701,0.00076,0.0358
49,409600,102400,48,453.6,0.0,,-0.0011,0.0,2.8725,0.00104,0.0542
50,417792,104448,48,456.9,0.0,,-0.003,0.0021,2.8612,0.00184,0.1036
51,425984,106496,48,460.3,0.0,,-0.0013,0.0,2.8577,0.00081,0.0364
52,434176,108544,48,463.7,0.0,,-0.0021,0.0,2.8672,0.00097,0.0471
53,442368,110592,48,467.0,0.0,,-0.0009,0.0,2.8783,0.00107,0.014
54,450560,112640,48,470.4,0.0,,-0.0008,0.0,2.8754,0.00057,0.0149
55,458752,114688,48,473.7,0.0,,-0.0004,0.0012,2.8747,0.00128,0.0908
56,466944,116736,48,477.1,0.0,,-0.0005,0.0,2.8825,0.00026,0.0042
57,475136,118784,48,480.4,0.0,,-0.0024,0.0001,2.8781,0.00123,0.0546
58,483328,120832,48,483.8,0.0,,-0.002,0.0,2.884,0.00105,0.0466
59,491520,122880,48,487.1,0.0,,-0.0004,0.0001,2.8852,0.00074,0.0034
60,499712,124928,48,490.5,0.0,,-0.0028,0.0009,2.8813,0.00134,0.0651
61,507904,126976,48,493.8,0.0,,-0.0007,0.0001,2.8775,0.001,0.0126
62,516096,129024,48,497.2,0.0,,-0.0024,0.0001,2.8822,0.00161,0.087
63,524288,131072,64,500.8,0.031,,-0.0001,0.0001,2.8822,0.00037,0.0001
64,532480,133120,64,504.2,0.031,,-0.0012,0.0,2.8767,0.0008,0.0221
65,540672,135168,64,507.5,0.031,,-0.0011,0.0,2.8817,0.00086,0.0192
66,548864,137216,64,510.9,0.031,,-0.0012,0.0,2.879,0.00077,0.0272
67,557056,139264,64,514.2,0.031,,-0.0007,0.0,2.8756,0.00058,0.0077
68,565248,141312,64,517.6,0.031,,-0.0018,0.0,2.8832,0.00118,0.0303
69,573440,143360,64,520.9,0.031,,-0.0012,0.0002,2.8774,0.00101,0.0325
70,581632,145408,64,524.3,0.031,,-0.0006,0.0,2.8844,0.00094,0.0122
71,589824,147456,64,527.6,0.031,,-0.0017,0.0001,2.8792,0.00129,0.0658
72,598016,149504,64,531.0,0.031,,-0.0015,0.0,2.8801,0.00092,0.0455
73,606208,151552,64,534.4,0.031,,-0.0029,0.0,2.8795,0.00125,0.0782
74,614400,153600,64,537.7,0.031,,-0.0017,0.0,2.8741,0.00112,0.0333
75,622592,155648,64,541.1,0.031,,-0.0012,0.0,2.8679,0.00121,0.0598
76,630784,157696,64,544.4,0.031,,-0.003,0.0,2.8684,0.00151,0.078
77,638976,159744,64,547.8,0.031,,-0.0015,0.0,2.8656,0.00098,0.0293
78,647168,161792,64,551.1,0.031,,-0.0014,0.0,2.8577,0.00108,0.0439
79,655360,163840,80,554.7,0.025,,-0.002,0.0,2.8598,0.00092,0.0404
80,663552,165888,80,558.1,0.025,,-0.0007,0.0,2.8714,0.00127,0.0564
81,671744,167936,80,561.5,0.025,,-0.0017,0.0,2.8738,0.0008,0.0161
82,679936,169984,80,564.8,0.025,,-0.0021,0.0,2.8668,0.00104,0.0476
83,688128,172032,80,568.2,0.025,,-0.0017,0.0,2.8611,0.00083,0.0197
84,696320,174080,80,571.5,0.025,,-0.0018,0.0,2.8531,0.00098,0.0399
85,704512,176128,80,574.9,0.025,,-0.0013,0.0,2.8517,0.00075,0.0265
86,712704,178176,80,578.2,0.025,,-0.0022,0.0002,2.8514,0.00162,0.0957
87,720896,180224,80,581.6,0.025,,-0.0031,0.0,2.8396,0.00149,0.0751
88,729088,182272,80,584.9,0.025,,-0.0013,0.0,2.855,0.00122,0.0544
89,737280,184320,80,588.3,0.025,,-0.0009,0.0021,2.8412,0.00116,0.0653
90,745472,186368,80,591.6,0.025,,-0.0008,0.0,2.8546,0.0009,0.0432
91,753664,188416,80,595.0,0.025,,-0.0013,0.0,2.8631,0.00079,0.0282
92,761856,190464,80,598.4,0.025,,-0.0011,0.0021,2.854,0.00145,0.1069
93,770048,192512,80,601.7,0.025,,-0.0011,0.0,2.8514,0.00086,0.0271
94,778240,194560,80,605.1,0.025,,-0.0012,0.0,2.8441,0.00087,0.0388
95,786432,196608,96,608.7,0.042,,-0.0006,0.0,2.8547,0.00052,0.0009
96,794624,198656,96,612.0,0.042,,-0.0029,0.0,2.834,0.00139,0.0702
97,802816,200704,96,615.4,0.042,,-0.0011,0.0005,2.8369,0.0009,0.0326
98,811008,202752,96,618.8,0.042,,-0.0022,0.0042,2.8225,0.00204,0.1162
99,819200,204800,96,622.1,0.042,,-0.0017,0.0,2.8344,0.00088,0.0298
100,827392,206848,96,909.8,0.042,0.0,-0.0011,0.0001,2.8338,0.00107,0.0483
