iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,82.8,nan,-21.0,0.0508,571.8964,2.8398,0.06017,0.5208
1,16384,4096,0,85.4,nan,,-0.0034,0.4821,2.8777,0.00259,0.2037
2,24576,6144,0,88.0,nan,,-0.0013,0.2449,2.8796,0.00163,0.1058
3,32768,8192,0,90.6,nan,,0.0003,0.2912,2.87,0.00244,0.1632
4,40960,10240,0,93.3,nan,,-0.0001,0.241,2.8729,0.00191,0.0922
5,49152,12288,1,95.9,-21.0,,-0.0024,0.0949,2.867,0.00173,0.0922
6,57344,14336,8,98.6,-20.75,,-0.0023,0.1513,2.8569,0.00245,0.1877
7,65536,16384,14,101.3,-20.5,,-0.0013,0.0977,2.8547,0.00234,0.1598
8,73728,18432,16,103.9,-20.375,,-0.0004,0.0627,2.8383,0.00148,0.1006
9,81920,20480,16,106.6,-20.375,,-0.0039,0.0327,2.8504,0.00233,0.181
10,90112,22528,16,109.2,-20.375,,0.0004,0.0588,2.8646,0.00211,0.1405
11,98304,24576,16,111.8,-20.375,,-0.0017,0.0585,2.8517,0.00229,0.1633
12,106496,26624,18,114.5,-20.444,,-0.0024,0.036,2.854,0.00111,0.0513
13,114688,28672,24,117.2,-20.5,,-0.0013,0.0428,2.8523,0.00107,0.051
14,122880,30720,29,119.9,-20.483,,-0.0026,0.0451,2.8463,0.00133,0.082
15,131072,32768,30,122.5,-20.5,,-0.0022,0.0347,2.8476,0.00142,0.0934
16,139264,34816,31,125.2,-20.419,,-0.0019,0.0291,2.838,0.00132,0.0463
17,147456,36864,32,127.8,-20.406,,-0.0017,0.0332,2.8316,0.0015,0.0773
18,155648,38912,33,130.5,-20.424,,-0.0024,0.0401,2.836,0.00164,0.0918
19,163840,40960,34,133.1,-20.441,,-0.0019,0.0451,2.8196,0.00121,0.0718
20,172032,43008,39,135.8,-20.436,,-0.0036,0.04,2.8088,0.00154,0.0872
21,180224,45056,43,138.5,-20.395,,-0.0032,0.0396,2.7807,0.00221,0.1432
