iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,41.9,nan,150.0,0.0368,361.8328,2.8541,0.03419,0.4797
1,16384,4096,1,44.6,2.0,,-0.001,0.6128,2.8827,0.00202,0.1237
2,24576,6144,15,47.4,4.2,,-0.0024,0.5641,2.8825,0.00147,0.0801
3,32768,8192,15,50.1,4.2,,-0.0017,0.3114,2.8793,0.00106,0.0403
4,40960,10240,21,52.9,4.667,,-0.0021,0.1768,2.8768,0.00147,0.0654
5,49152,12288,30,55.7,5.6,,-0.0013,0.1632,2.8746,0.00097,0.0466
6,57344,14336,32,58.5,5.875,,-0.0023,0.128,2.8767,0.00097,0.0509
7,65536,16384,39,61.3,5.897,,-0.0041,0.1173,2.8608,0.00224,0.1329
8,73728,18432,45,64.0,6.178,,-0.0022,0.1316,2.8635,0.00113,0.0514
9,81920,20480,51,66.8,6.529,,-0.0032,0.1567,2.8513,0.00123,0.0635
10,90112,22528,57,69.6,6.491,,-0.0014,0.181,2.8434,0.00218,0.1213
11,98304,24576,61,72.4,6.639,,-0.0033,0.1032,2.836,0.00159,0.075
12,106496,26624,71,75.2,6.887,,-0.003,0.0861,2.8229,0.00159,0.092
13,114688,28672,75,78.0,6.947,,-0.002,0.1225,2.8304,0.00126,0.0592
14,122880,30720,80,80.7,6.912,,-0.0034,0.1027,2.831,0.00144,0.0663
15,131072,32768,86,83.5,6.826,,-0.0023,0.1043,2.8407,0.00102,0.0474
16,139264,34816,91,86.3,7.044,,-0.0037,0.0985,2.8396,0.0019,0.1224
17,147456,36864,96,89.1,7.156,,-0.0034,0.0973,2.8388,0.00221,0.1326
18,155648,38912,104,91.8,7.61,,-0.0061,0.1332,2.8067,0.00214,0.1393
19,163840,40960,107,94.6,7.81,,-0.0037,0.1172,2.8158,0.00159,0.0945
20,172032,43008,116,97.4,8.01,,-0.0034,0.1267,2.7847,0.00189,0.1057
21,180224,45056,119,100.2,8.25,,-0.0039,0.0825,2.8047,0.00156,0.0864
22,188416,47104,125,102.9,8.49,,-0.0047,0.0893,2.8085,0.00159,0.0874
23,196608,49152,129,105.7,8.59,,-0.006,0.0711,2.8121,0.00223,0.1373
24,204800,51200,134,108.5,8.88,,-0.0054,0.0727,2.8125,0.00163,0.088
25,212992,53248,138,111.2,8.98,,-0.0053,0.0669,2.803,0.00195,0.1029
26,221184,55296,147,114.0,9.34,,-0.0056,0.0761,2.7773,0.0023,0.1488
27,229376,57344,150,116.8,9.25,,-0.0039,0.0812,2.8052,0.00269,0.1726
28,237568,59392,156,119.6,9.39,,-0.0055,0.0818,2.7892,0.00175,0.0958
29,245760,61440,162,122.3,9.58,,-0.0049,0.1012,2.782,0.00213,0.1302
30,253952,63488,167,125.1,9.68,,-0.0066,0.0746,2.7919,0.00185,0.1066
31,262144,65536,172,127.9,9.78,,-0.008,0.0646,2.7705,0.00249,0.1586
32,270336,67584,177,130.6,10.0,,-0.0039,0.1034,2.7941,0.00244,0.162
33,278528,69632,180,133.4,10.19,,-0.0102,0.0588,2.8017,0.00298,0.1913
34,286720,71680,187,136.2,10.64,,-0.0019,0.0889,2.7865,0.00161,0.084
35,294912,73728,192,138.9,10.68,,-0.0041,0.0909,2.7789,0.0022,0.1293
36,303104,75776,195,141.7,10.83,,-0.0075,0.0561,2.7603,0.00211,0.13
37,311296,77824,205,144.5,10.88,,-0.005,0.0875,2.736,0.00241,0.1422
38,319488,79872,206,147.3,10.89,,-0.0071,0.0691,2.7798,0.0022,0.1409
39,327680,81920,208,150.0,10.94,,-0.007,0.0525,2.8011,0.00206,0.1232
40,335872,83968,218,152.8,11.23,,-0.0071,0.0571,2.7393,0.00236,0.1433
41,344064,86016,221,155.6,11.31,,-0.0086,0.0566,2.7324,0.00228,0.1357
42,352256,88064,225,158.4,11.48,,-0.0086,0.0436,2.7746,0.00216,0.1327
43,360448,90112,229,161.1,11.44,,-0.0087,0.0651,2.776,0.00237,0.145
44,368640,92160,235,163.9,11.38,,-0.0065,0.0858,2.7784,0.00235,0.1467
45,376832,94208,238,166.7,11.56,,-0.0084,0.0539,2.7791,0.00273,0.1617
46,385024,96256,241,169.4,11.63,,-0.0097,0.0533,2.7792,0.00372,0.1947
47,393216,98304,249,172.2,11.88,,-0.0079,0.0719,2.7574,0.00292,0.1853
48,401408,100352,254,175.0,12.18,,-0.0094,0.061,2.7831,0.0025,0.1544
49,409600,102400,257,177.7,12.34,,-0.0085,0.0559,2.7943,0.00276,0.1678
50,417792,104448,264,180.5,12.38,,-0.0105,0.0552,2.7736,0.0031,0.2017
51,425984,106496,268,183.3,12.41,,-0.011,0.0502,2.7701,0.00295,0.182
52,434176,108544,271,186.0,12.46,,-0.0107,0.0458,2.7805,0.00334,0.2118
53,442368,110592,280,188.8,12.49,,-0.0101,0.054,2.7503,0.00356,0.2147
54,450560,112640,283,191.6,12.48,,-0.0077,0.0543,2.7623,0.00252,0.157
55,458752,114688,286,194.3,12.3,,-0.0083,0.0501,2.7873,0.00297,0.1891
56,466944,116736,292,197.1,12.38,,-0.0094,0.0654,2.7645,0.00271,0.1731
57,475136,118784,299,199.9,12.62,,-0.0112,0.0443,2.7508,0.00318,0.2042
58,483328,120832,302,202.6,12.64,,-0.0096,0.058,2.769,0.00277,0.1735
59,491520,122880,308,205.4,12.7,,-0.012,0.0386,2.7502,0.00349,0.2292
60,499712,124928,312,208.2,12.72,,-0.0095,0.0514,2.7512,0.00274,0.1703
61,507904,126976,316,210.9,12.69,,-0.01,0.0404,2.754,0.00285,0.1775
62,516096,129024,322,213.7,12.55,,-0.0085,0.0663,2.7628,0.0028,0.1731
63,524288,131072,328,216.5,12.5,,-0.0127,0.0489,2.7433,0.00319,0.1985
64,532480,133120,332,219.3,12.5,,-0.0107,0.0461,2.7336,0.00354,0.2148
65,540672,135168,338,222.1,12.42,,-0.0102,0.0579,2.7505,0.00303,0.192
66,548864,137216,344,224.8,12.26,,-0.0116,0.0643,2.7339,0.00362,0.2217
67,557056,139264,348,227.6,12.1,,-0.009,0.0619,2.7264,0.00307,0.184
68,565248,141312,355,230.4,11.98,,-0.0097,0.0736,2.7094,0.00312,0.2083
69,573440,143360,360,233.1,12.05,,-0.0133,0.0517,2.6981,0.00324,0.2089
70,581632,145408,363,235.9,11.99,,-0.0102,0.0656,2.7206,0.00395,0.231
71,589824,147456,371,238.7,11.98,,-0.0126,0.0549,2.7177,0.00309,0.1953
72,598016,149504,376,241.5,11.99,,-0.0115,0.0643,2.7253,0.00349,0.2145
73,606208,151552,381,244.2,11.96,,-0.0118,0.0528,2.7127,0.00306,0.1902
74,614400,153600,385,247.0,12.17,,-0.012,0.0594,2.7065,0.00316,0.2045
75,622592,155648,389,249.7,12.22,,-0.0112,0.0555,2.7122,0.00343,0.2263
76,630784,157696,395,252.5,12.21,,-0.0123,0.0573,2.721,0.00406,0.2354
77,638976,159744,400,255.3,12.14,,-0.011,0.0501,2.7279,0.00319,0.1903
78,647168,161792,406,258.1,12.08,,-0.0113,0.0722,2.7101,0.00354,0.2074
79,655360,163840,411,260.8,12.12,,-0.0097,0.0631,2.7072,0.00306,0.1783
80,663552,165888,415,263.6,12.14,,-0.0107,0.0552,2.7161,0.00329,0.1946
81,671744,167936,421,266.4,12.23,,-0.0117,0.0606,2.7153,0.00337,0.1968
82,679936,169984,426,269.2,12.31,,-0.0125,0.0605,2.6941,0.00371,0.2108
83,688128,172032,430,271.9,12.35,,-0.0112,0.0583,2.7263,0.00369,0.2158
84,696320,174080,433,274.7,12.5,,-0.0114,0.0442,2.7344,0.00325,0.1975
85,704512,176128,443,277.5,12.72,,-0.0121,0.0586,2.6946,0.00436,0.2633
86,712704,178176,445,280.2,12.81,,-0.012,0.054,2.7265,0.00374,0.2117
87,720896,180224,451,283.0,12.97,,-0.0086,0.061,2.7095,0.00366,0.2329
88,729088,182272,457,285.8,12.91,,-0.0131,0.0892,2.6598,0.00406,0.2321
89,737280,184320,460,288.6,12.95,,-0.0131,0.061,2.6804,0.00366,0.2023
90,745472,186368,467,291.4,13.02,,-0.0133,0.0447,2.6832,0.00395,0.2313
91,753664,188416,470,294.1,13.1,,-0.0138,0.0448,2.6749,0.00425,0.2383
92,761856,190464,475,296.9,13.27,,-0.0135,0.0414,2.6975,0.00414,0.2317
93,770048,192512,480,299.6,13.36,,-0.014,0.0501,2.6844,0.00481,0.27
94,778240,194560,487,302.4,13.44,,-0.0149,0.0597,2.6649,0.00351,0.2069
95,786432,196608,491,305.2,13.45,,-0.0157,0.0634,2.6544,0.00501,0.2677
96,794624,198656,494,308.0,13.41,,-0.0146,0.0534,2.7131,0.0044,0.2711
97,802816,200704,500,310.7,13.31,,-0.0146,0.0518,2.6524,0.00447,0.2574
98,811008,202752,506,313.5,13.54,,-0.0134,0.0416,2.6432,0.00434,0.241
99,819200,204800,509,316.3,13.59,,-0.0132,0.0649,2.6476,0.00497,0.2754
100,827392,206848,514,384.7,13.66,275.0,-0.0156,0.0488,2.6675,0.00449,0.257
101,835584,208896,519,387.4,13.61,,-0.0153,0.0673,2.6466,0.00482,0.2732
102,843776,210944,524,390.2,13.86,,-0.0152,0.0422,2.6359,0.00533,0.2974
103,851968,212992,530,393.0,13.84,,-0.0146,0.0428,2.6416,0.00418,0.2281
104,860160,215040,534,395.7,13.8,,-0.0171,0.0614,2.6108,0.00499,0.2605
105,868352,217088,538,398.5,13.68,,-0.0134,0.0637,2.6274,0.00414,0.2384
106,876544,219136,543,401.3,13.62,,-0.0163,0.0525,2.5925,0.00572,0.3116
107,884736,221184,547,404.0,13.58,,-0.0171,0.039,2.6108,0.00524,0.3031
108,892928,223232,551,406.8,13.7,,-0.0139,0.0394,2.6313,0.00565,0.3051
109,901120,225280,556,409.6,13.97,,-0.0134,0.0412,2.5914,0.0043,0.2506
110,909312,227328,561,412.4,13.94,,-0.0127,0.0384,2.591,0.00551,0.3002
111,917504,229376,564,415.1,14.05,,-0.0116,0.0478,2.6059,0.00486,0.2809
112,925696,231424,571,417.9,14.15,,-0.0174,0.0381,2.5894,0.0048,0.2952
113,933888,233472,576,420.7,14.14,,-0.014,0.0504,2.5938,0.00578,0.299
114,942080,235520,579,423.4,14.14,,-0.0114,0.0745,2.6394,0.00487,0.2698
115,950272,237568,582,426.2,14.11,,-0.014,0.0399,2.6423,0.00439,0.2893
116,958464,239616,591,429.0,14.14,,-0.0151,0.0468,2.6117,0.00511,0.2865
117,966656,241664,594,431.7,14.32,,-0.0127,0.0637,2.606,0.00516,0.2976
118,974848,243712,598,434.5,14.45,,-0.0151,0.0578,2.6081,0.00456,0.2466
119,983040,245760,606,437.3,14.3,,-0.0143,0.0638,2.5607,0.00559,0.2972
120,991232,247808,611,440.1,14.26,,-0.0136,0.0778,2.508,0.00438,0.2657
121,999424,249856,614,442.8,14.36,,-0.0164,0.0407,2.5714,0.00557,0.2871
122,1007616,251904,620,445.6,14.46,,-0.0139,0.0715,2.5876,0.00495,0.2823
123,1015808,253952,626,448.4,14.46,,-0.0156,0.0731,2.4849,0.00577,0.312
124,1024000,256000,630,451.1,14.52,,-0.0126,0.0574,2.5469,0.0052,0.2802
125,1032192,258048,633,453.9,14.55,,-0.0133,0.0605,2.5663,0.00538,0.3003
126,1040384,260096,641,456.7,14.74,,-0.0129,0.0613,2.5599,0.00636,0.3091
127,1048576,262144,643,459.4,14.71,,-0.0126,0.048,2.5719,0.00498,0.2533
128,1056768,264192,650,462.2,14.58,,-0.0165,0.0499,2.5752,0.00574,0.2855
129,1064960,266240,654,465.0,14.54,,-0.0164,0.0511,2.5426,0.00547,0.3036
130,1073152,268288,659,467.8,14.54,,-0.014,0.0572,2.5693,0.00544,0.2314
131,1081344,270336,665,470.5,14.55,,-0.0171,0.0326,2.5431,0.00667,0.3057
132,1089536,272384,667,473.3,14.49,,-0.0155,0.0427,2.54,0.00561,0.2947
133,1097728,274432,674,476.1,14.5,,-0.0173,0.0482,2.531,0.00577,0.2838
134,1105920,276480,678,478.8,14.48,,-0.0142,0.0508,2.5266,0.00484,0.2607
135,1114112,278528,680,481.6,14.48,,-0.0135,0.0524,2.5264,0.00561,0.3097
136,1122304,280576,685,484.4,14.62,,-0.015,0.0648,2.5161,0.0072,0.3108
137,1130496,282624,693,487.2,14.69,,-0.0162,0.0516,2.5416,0.00476,0.2704
138,1138688,284672,695,489.9,14.57,,-0.0159,0.0436,2.5479,0.00536,0.2988
139,1146880,286720,701,492.7,14.53,,-0.0143,0.0643,2.5021,0.00427,0.2266
140,1155072,288768,705,495.5,14.78,,-0.0151,0.0382,2.5479,0.00474,0.2738
141,1163264,290816,708,498.2,14.84,,-0.015,0.0443,2.5222,0.00557,0.3229
142,1171456,292864,715,501.0,14.83,,-0.0144,0.0405,2.5009,0.00611,0.2842
143,1179648,294912,718,503.7,15.03,,-0.0138,0.0569,2.4929,0.00464,0.2611
144,1187840,296960,722,506.5,14.95,,-0.0158,0.0414,2.484,0.00617,0.3428
145,1196032,299008,726,509.2,14.93,,-0.0131,0.0438,2.5254,0.00448,0.2588
146,1204224,301056,732,512.0,14.94,,-0.016,0.0481,2.4842,0.00642,0.3191
147,1212416,303104,736,514.8,15.06,,-0.0181,0.0382,2.4734,0.00589,0.2972
148,1220608,305152,740,517.5,15.02,,-0.0175,0.0427,2.4979,0.00616,0.3143
149,1228800,307200,746,520.3,15.17,,-0.0155,0.0427,2.4603,0.00652,0.3229
150,1236992,309248,752,523.1,15.3,,-0.0132,0.0467,2.5171,0.00547,0.2903
151,1245184,311296,754,525.8,15.27,,-0.0162,0.0486,2.4377,0.00519,0.291
152,1253376,313344,761,528.6,15.36,,-0.0167,0.043,2.4193,0.00645,0.2955
153,1261568,315392,764,531.4,15.39,,-0.0166,0.0623,2.3732,0.00622,0.3186
