iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,123.7,nan,180.0,0.0306,303.8622,2.8681,0.02491,0.4417
1,16384,4096,0,128.9,nan,,-0.002,0.2654,2.8846,0.0011,0.0533
2,24576,6144,4,134.1,1.25,,-0.0006,0.2148,2.8864,0.00096,0.0282
3,32768,8192,9,139.4,1.556,,-0.0026,0.092,2.8845,0.00143,0.0992
4,40960,10240,12,144.6,2.917,,-0.0006,0.0796,2.8839,0.00082,0.0253
5,49152,12288,16,149.9,3.938,,-0.0018,0.0649,2.8848,0.00059,0.0085
6,57344,14336,22,155.1,3.682,,-0.0045,0.0242,2.8796,0.00167,0.1033
7,65536,16384,25,160.4,3.96,,-0.0041,0.0375,2.8752,0.00109,0.0481
8,73728,18432,27,165.6,3.778,,-0.0049,0.0375,2.8722,0.00116,0.0664
9,81920,20480,29,170.9,4.0,,-0.0059,0.0352,2.8697,0.00142,0.0791
10,90112,22528,33,176.2,4.303,,-0.0064,0.0367,2.8572,0.0023,0.1423
11,98304,24576,36,181.4,4.806,,-0.0088,0.0336,2.86,0.00171,0.1007
12,106496,26624,40,186.7,5.225,,-0.009,0.0294,2.8417,0.00204,0.1217
13,114688,28672,41,192.0,5.317,,-0.0069,0.0453,2.8497,0.00154,0.0814
14,122880,30720,42,197.2,5.476,,-0.0107,0.0321,2.8237,0.00234,0.1427
15,131072,32768,44,202.5,5.682,,-0.0106,0.0348,2.8293,0.00249,0.163
16,139264,34816,46,207.8,5.848,,-0.0159,0.0259,2.8171,0.00286,0.1758
17,147456,36864,47,213.0,5.979,,-0.0153,0.0289,2.8121,0.00276,0.1677
18,155648,38912,53,218.3,6.962,,-0.0143,0.0265,2.8124,0.00259,0.1552
19,163840,40960,56,223.6,7.393,,-0.0133,0.0305,2.8092,0.00225,0.1411
20,172032,43008,56,228.8,7.393,,-0.0175,0.0274,2.8149,0.00272,0.1653
21,180224,45056,58,234.1,7.466,,-0.016,0.0268,2.8068,0.00276,0.1653
22,188416,47104,58,239.3,7.466,,-0.017,0.0297,2.8067,0.00275,0.1707
23,196608,49152,61,244.6,8.066,,-0.0189,0.0309,2.7988,0.00349,0.2122
24,204800,51200,61,249.8,8.066,,-0.0202,0.0284,2.8122,0.00356,0.2307
25,212992,53248,64,255.1,8.406,,-0.0199,0.0265,2.7818,0.0038,0.225
26,221184,55296,68,260.4,8.897,,-0.0193,0.0294,2.7794,0.00392,0.231
27,229376,57344,70,265.6,9.129,,-0.0184,0.0212,2.7727,0.00445,0.256
28,237568,59392,72,270.9,9.194,,-0.0215,0.0231,2.7833,0.00393,0.2275
29,245760,61440,73,276.1,9.315,,-0.0211,0.0233,2.7825,0.00553,0.3066
30,253952,63488,74,281.4,9.541,,-0.0223,0.0253,2.7763,0.00469,0.2422
31,262144,65536,75,286.6,9.507,,-0.0251,0.0273,2.7873,0.0049,0.2675
32,270336,67584,78,291.9,9.692,,-0.0215,0.0253,2.7674,0.00508,0.2858
33,278528,69632,80,297.2,9.738,,-0.0225,0.0277,2.7691,0.00442,0.2521
34,286720,71680,82,302.4,10.11,,-0.0229,0.0284,2.762,0.00426,0.2235
35,294912,73728,83,307.7,10.181,,-0.0243,0.0259,2.7421,0.00473,0.2675
36,303104,75776,86,312.9,10.384,,-0.0249,0.0292,2.7422,0.00548,0.2803
37,311296,77824,87,318.2,10.448,,-0.0197,0.0295,2.735,0.00532,0.2875
38,319488,79872,90,323.5,10.556,,-0.022,0.0277,2.7276,0.00579,0.3129
39,327680,81920,92,328.8,10.783,,-0.0233,0.028,2.7043,0.00518,0.281
40,335872,83968,93,334.0,10.806,,-0.0243,0.0231,2.706,0.00543,0.2775
41,344064,86016,96,339.3,10.844,,-0.0216,0.0263,2.6799,0.007,0.3348
42,352256,88064,97,344.6,10.938,,-0.0244,0.0327,2.7022,0.00615,0.3179
43,360448,90112,99,349.8,11.04,,-0.0244,0.0232,2.7085,0.00553,0.2882
44,368640,92160,101,355.1,11.23,,-0.0235,0.0255,2.711,0.00536,0.2888
45,376832,94208,102,360.3,11.36,,-0.0224,0.0259,2.7195,0.00455,0.2507
46,385024,96256,104,365.6,11.68,,-0.0256,0.0209,2.7366,0.00583,0.2854
47,393216,98304,105,370.9,11.84,,-0.0262,0.0224,2.7002,0.0064,0.3008
48,401408,100352,106,376.1,12.09,,-0.0233,0.0244,2.7025,0.00634,0.3232
49,409600,102400,108,381.4,12.41,,-0.0257,0.0256,2.6983,0.0068,0.3214
50,417792,104448,110,386.6,12.73,,-0.0242,0.0254,2.6789,0.00651,0.3167
51,425984,106496,111,391.9,12.8,,-0.0205,0.0307,2.6717,0.00675,0.3485
52,434176,108544,111,397.1,12.8,,-0.0227,0.0294,2.6592,0.00648,0.3323
53,442368,110592,114,402.4,13.27,,-0.0245,0.0288,2.6792,0.00667,0.319
54,450560,112640,118,407.7,13.94,,-0.0217,0.0224,2.684,0.00676,0.3309
55,458752,114688,120,412.9,14.39,,-0.0251,0.024,2.6957,0.00657,0.3173
56,466944,116736,122,418.2,14.64,,-0.0255,0.0246,2.6784,0.00734,0.3378
57,475136,118784,123,423.5,14.76,,-0.0267,0.0266,2.6765,0.00649,0.3075
58,483328,120832,126,428.7,14.94,,-0.0265,0.0242,2.6703,0.00666,0.3132
59,491520,122880,128,434.0,15.29,,-0.0273,0.0284,2.682,0.00691,0.3325
60,499712,124928,129,439.2,15.32,,-0.0254,0.0255,2.6711,0.00545,0.2777
61,507904,126976,130,444.5,15.39,,-0.0254,0.0238,2.6843,0.00633,0.2992
