iter,frames,agent_steps,episodes,wall_s,train_return_mean,greedy_score,pg_loss,v_loss,entropy,approx_kl,clipfrac
0,8192,2048,0,63.6,nan,270.0,0.018,144.6128,2.8764,0.01522,0.3788
1,16384,4096,0,66.3,nan,,-0.0024,0.1969,2.8889,0.00089,0.0457
2,24576,6144,3,69.1,6.667,,-0.003,0.0928,2.8844,0.00143,0.089
3,32768,8192,8,71.9,7.125,,-0.002,0.1021,2.8853,0.00097,0.0248
4,40960,10240,11,74.7,8.091,,-0.0028,0.0636,2.8825,0.00096,0.041
5,49152,12288,14,77.4,8.786,,-0.0038,0.0536,2.8778,0.00153,0.0641
6,57344,14336,18,80.2,9.944,,-0.0042,0.0717,2.8765,0.00122,0.0646
7,65536,16384,25,83.0,9.8,,-0.0056,0.0465,2.8703,0.00175,0.0985
8,73728,18432,27,85.8,10.481,,-0.0055,0.0456,2.8665,0.00186,0.1141
9,81920,20480,29,88.6,10.345,,-0.0047,0.051,2.8639,0.002,0.1322
10,90112,22528,34,91.4,10.176,,-0.0052,0.0706,2.8682,0.00141,0.0861
11,98304,24576,37,94.2,10.081,,-0.0053,0.0755,2.8697,0.00154,0.0887
12,106496,26624,40,97.0,10.5,,-0.0042,0.0589,2.8705,0.00114,0.064
13,114688,28672,44,99.7,10.682,,-0.0071,0.0382,2.8657,0.00164,0.0948
14,122880,30720,51,102.5,10.784,,-0.0071,0.0481,2.8633,0.0025,0.1726
15,131072,32768,55,105.3,10.655,,-0.0073,0.0584,2.858,0.00198,0.1365
16,139264,34816,58,108.1,10.483,,-0.0039,0.0979,2.8557,0.00107,0.0453
17,147456,36864,61,110.9,10.443,,-0.0067,0.066,2.8616,0.00175,0.1091
18,155648,38912,62,113.7,10.419,,-0.0068,0.0552,2.8569,0.00185,0.1086
19,163840,40960,66,116.4,10.5,,-0.0073,0.0766,2.8567,0.00188,0.1096
20,172032,43008,71,119.2,10.761,,-0.0071,0.0612,2.8548,0.00202,0.1194
21,180224,45056,75,122.0,11.16,,-0.005,0.0777,2.8523,0.00124,0.0533
22,188416,47104,77,124.7,11.065,,-0.0065,0.0655,2.8493,0.00169,0.1002
23,196608,49152,82,127.5,11.098,,-0.0093,0.0717,2.8479,0.00234,0.1631
24,204800,51200,86,130.3,11.349,,-0.0087,0.0725,2.8466,0.00146,0.0796
25,212992,53248,89,133.1,11.461,,-0.0097,0.0494,2.8449,0.00221,0.1393
26,221184,55296,93,135.9,11.333,,-0.0074,0.0598,2.843,0.00171,0.1068
27,229376,57344,93,138.6,11.333,,-0.0103,0.0317,2.8336,0.00237,0.1519
28,237568,59392,100,141.4,11.45,,-0.0092,0.0717,2.8206,0.0025,0.1624
29,245760,61440,108,144.2,11.96,,-0.0066,0.0781,2.8266,0.00224,0.1508
30,253952,63488,110,147.0,11.75,,-0.0065,0.0696,2.8215,0.00193,0.115
31,262144,65536,110,149.7,11.75,,-0.0071,0.0706,2.8101,0.00213,0.1373
32,270336,67584,115,152.5,11.6,,-0.0084,0.0547,2.8285,0.00262,0.1709
33,278528,69632,121,155.3,12.0,,-0.0098,0.0503,2.8198,0.00248,0.1677
34,286720,71680,125,158.1,12.12,,-0.0095,0.0895,2.8079,0.00228,0.1472
35,294912,73728,130,160.9,12.08,,-0.0088,0.0742,2.7871,0.00279,0.1812
36,303104,75776,133,163.7,12.13,,-0.0076,0.0719,2.796,0.00238,0.1572
37,311296,77824,133,166.4,12.13,,-0.0071,0.0615,2.8055,0.0023,0.1473
38,319488,79872,140,169.2,12.15,,-0.0116,0.0665,2.814,0.00296,0.1897
39,327680,81920,144,172.0,12.19,,-0.0088,0.066,2.8245,0.00203,0.1182
40,335872,83968,149,174.8,12.26,,-0.0098,0.0678,2.8206,0.00318,0.2158
41,344064,86016,152,177.6,12.29,,-0.012,0.0644,2.8199,0.00234,0.156
42,352256,88064,155,180.3,12.62,,-0.009,0.0691,2.814,0.00227,0.141
43,360448,90112,161,183.1,12.73,,-0.013,0.0678,2.8094,0.0028,0.183
44,368640,92160,164,185.9,12.85,,-0.0112,0.0614,2.8264,0.00257,0.1644
45,376832,94208,171,188.7,12.6,,-0.0109,0.0655,2.8118,0.00257,0.1626
46,385024,96256,171,191.4,12.6,,-0.0115,0.0582,2.8186,0.00265,0.1755
47,393216,98304,178,194.3,12.41,,-0.0092,0.0707,2.8116,0.00318,0.2057
48,401408,100352,180,197.0,12.57,,-0.0128,0.0566,2.8178,0.00263,0.1622
49,409600,102400,186,199.8,12.21,,-0.0116,0.0729,2.8062,0.00278,0.1816
50,417792,104448,188,202.6,12.04,,-0.0077,0.068,2.825,0.00208,0.1232
51,425984,106496,192,205.3,12.3,,-0.0126,0.0564,2.8189,0.00264,0.1664
52,434176,108544,197,208.1,12.33,,-0.0102,0.0803,2.7985,0.00264,0.1715
53,442368,110592,200,210.9,12.51,,-0.0113,0.0773,2.8213,0.00243,0.1436
54,450560,112640,206,213.7,12.28,,-0.0101,0.0789,2.7961,0.00298,0.189
55,458752,114688,209,216.4,12.3,,-0.0105,0.0589,2.8223,0.00207,0.125
56,466944,116736,215,219.2,12.51,,-0.0085,0.0655,2.8098,0.00221,0.1398
57,475136,118784,219,222.0,12.35,,-0.012,0.0546,2.801,0.00253,0.1614
58,483328,120832,223,224.8,11.94,,-0.0124,0.0806,2.7996,0.00321,0.2148
59,491520,122880,224,227.6,11.96,,-0.0142,0.054,2.7951,0.00293,0.179
60,499712,124928,230,230.3,11.9,,-0.0133,0.0722,2.7912,0.00292,0.1721
61,507904,126976,233,233.1,12.27,,-0.0136,0.0565,2.8012,0.00296,0.1899
62,516096,129024,239,235.9,12.46,,-0.0127,0.0638,2.7976,0.00332,0.2179
63,524288,131072,242,238.7,12.33,,-0.0108,0.0678,2.7806,0.00293,0.1844
64,532480,133120,247,241.5,11.88,,-0.0141,0.066,2.7644,0.00312,0.1951
65,540672,135168,248,244.2,12.05,,-0.0105,0.063,2.7853,0.00301,0.1992
66,548864,137216,252,247.0,12.15,,-0.013,0.0661,2.78,0.00266,0.1604
67,557056,139264,258,249.8,12.04,,-0.0115,0.0696,2.7723,0.00302,0.1952
68,565248,141312,261,252.6,12.02,,-0.0124,0.059,2.7707,0.0036,0.2365
69,573440,143360,265,255.4,11.99,,-0.012,0.081,2.7652,0.00265,0.1619
70,581632,145408,268,258.1,12.23,,-0.014,0.057,2.7852,0.00391,0.2422
71,589824,147456,273,260.9,11.99,,-0.0137,0.0548,2.7715,0.00375,0.2325
72,598016,149504,274,263.7,11.98,,-0.017,0.0455,2.7778,0.00326,0.2047
73,606208,151552,278,266.4,12.33,,-0.0175,0.0565,2.7608,0.00416,0.2494
74,614400,153600,284,269.2,12.31,,-0.013,0.0613,2.7607,0.00346,0.2281
75,622592,155648,286,272.0,12.42,,-0.0155,0.0573,2.7672,0.00333,0.2144
76,630784,157696,291,274.8,12.48,,-0.0181,0.0605,2.7228,0.00468,0.2904
77,638976,159744,293,277.5,12.51,,-0.0173,0.0633,2.7697,0.00334,0.2117
78,647168,161792,299,280.3,12.5,,-0.0118,0.0603,2.7493,0.00392,0.2471
79,655360,163840,302,283.1,12.13,,-0.0115,0.0727,2.7579,0.00284,0.1815
80,663552,165888,305,285.9,12.42,,-0.0146,0.06,2.7257,0.00289,0.1833
81,671744,167936,309,288.6,12.66,,-0.0163,0.0425,2.7276,0.00393,0.2517
82,679936,169984,317,291.5,12.59,,-0.0138,0.0686,2.7502,0.00404,0.2467
83,688128,172032,322,294.3,12.7,,-0.0118,0.079,2.7038,0.00366,0.2288
84,696320,174080,324,297.1,12.65,,-0.0146,0.0444,2.7361,0.00328,0.205
85,704512,176128,330,299.9,12.5,,-0.0127,0.0525,2.6972,0.00286,0.1785
86,712704,178176,334,302.7,12.19,,-0.0153,0.0651,2.7511,0.00348,0.223
87,720896,180224,338,305.4,12.43,,-0.0152,0.0581,2.7386,0.00353,0.2112
88,729088,182272,342,308.2,12.19,,-0.0177,0.0523,2.7414,0.00454,0.2556
89,737280,184320,344,311.0,12.38,,-0.0174,0.0597,2.7799,0.00467,0.2559
90,745472,186368,348,313.8,12.56,,-0.0143,0.0521,2.7661,0.00445,0.2595
91,753664,188416,352,316.5,12.74,,-0.0191,0.0578,2.7859,0.00421,0.2618
92,761856,190464,355,319.3,12.44,,-0.0168,0.0427,2.7864,0.00273,0.1776
93,770048,192512,363,322.1,12.6,,-0.0133,0.0707,2.746,0.00433,0.2523
94,778240,194560,367,324.9,12.54,,-0.0174,0.057,2.7883,0.00347,0.2076
95,786432,196608,368,327.7,12.52,,-0.0164,0.0483,2.7874,0.00379,0.2241
96,794624,198656,371,330.4,12.48,,-0.0173,0.0565,2.7944,0.00319,0.2054
97,802816,200704,376,333.2,12.54,,-0.0163,0.0549,2.7873,0.00283,0.1749
98,811008,202752,379,336.0,12.44,,-0.0188,0.0598,2.7797,0.00367,0.2308
99,819200,204800,385,338.8,12.59,,-0.0166,0.055,2.7607,0.00371,0.239
100,827392,206848,385,421.9,12.59,214.8000030517578,-0.0168,0.0704,2.7883,0.00297,0.1906
101,835584,208896,390,424.6,12.58,,-0.0221,0.0421,2.7668,0.00454,0.2572
102,843776,210944,393,427.4,12.58,,-0.0211,0.0672,2.7687,0.00463,0.2836
103,851968,212992,398,430.2,12.54,,-0.0155,0.0666,2.7574,0.00399,0.2571
104,860160,215040,402,432.9,12.77,,-0.0166,0.0572,2.7641,0.00424,0.2472
105,868352,217088,404,435.7,12.88,,-0.0194,0.0611,2.7518,0.00383,0.2335
106,876544,219136,407,438.4,12.88,,-0.0192,0.0566,2.765,0.00451,0.2712
107,884736,221184,412,441.2,13.15,,-0.0208,0.0564,2.7462,0.00451,0.2771
108,892928,223232,416,444.0,13.45,,-0.0198,0.0745,2.7238,0.00459,0.2865
109,901120,225280,417,446.8,13.61,,-0.0167,0.0572,2.7625,0.00434,0.2693
110,909312,227328,421,449.5,13.47,,-0.0155,0.0853,2.7295,0.00542,0.3124
111,917504,229376,428,452.3,14.03,,-0.0182,0.0619,2.7267,0.00482,0.2792
112,925696,231424,431,455.1,14.02,,-0.0168,0.0662,2.7176,0.00401,0.2482
113,933888,233472,432,457.8,14.14,,-0.019,0.0557,2.7453,0.00453,0.2783
114,942080,235520,437,460.6,14.17,,-0.0199,0.0492,2.7196,0.00485,0.2859
115,950272,237568,441,463.4,14.24,,-0.0175,0.0737,2.724,0.0038,0.2341
116,958464,239616,443,466.1,14.29,,-0.0219,0.0534,2.7489,0.00468,0.2736
117,966656,241664,449,468.9,14.05,,-0.0163,0.0729,2.7174,0.00423,0.2532
118,974848,243712,453,471.7,14.14,,-0.018,0.0781,2.7306,0.00478,0.2797
119,983040,245760,455,474.5,14.44,,-0.0163,0.0607,2.7416,0.00477,0.2986
120,991232,247808,456,477.2,14.5,,-0.0194,0.0489,2.7436,0.00484,0.2811
121,999424,249856,461,480.0,14.52,,-0.0172,0.0833,2.7493,0.00556,0.334
122,1007616,251904,464,482.7,14.71,,-0.0191,0.0717,2.749,0.00485,0.2745
123,1015808,253952,466,485.5,14.86,,-0.0195,0.0475,2.7574,0.00407,0.2367
124,1024000,256000,471,488.3,15.04,,-0.0198,0.062,2.7222,0.00444,0.2699
125,1032192,258048,475,491.1,15.3,,-0.0205,0.0566,2.7412,0.00534,0.2927
126,1040384,260096,482,493.9,15.17,,-0.0155,0.0823,2.706,0.00529,0.2943
127,1048576,262144,486,496.7,15.16,,-0.0158,0.0658,2.7229,0.00462,0.2697
128,1056768,264192,486,499.4,15.16,,-0.0205,0.0497,2.7162,0.0046,0.2753
129,1064960,266240,491,502.2,15.06,,-0.0188,0.0713,2.7175,0.00471,0.2767
130,1073152,268288,494,505.0,14.91,,-0.0185,0.0686,2.7083,0.00466,0.2686
131,1081344,270336,497,507.7,14.94,,-0.0213,0.0463,2.6771,0.00592,0.328
132,1089536,272384,499,510.4,15.05,,-0.0228,0.0557,2.6999,0.00502,0.2933
133,1097728,274432,505,513.2,15.1,,-0.0226,0.0633,2.7109,0.00468,0.287
134,1105920,276480,508,516.0,15.04,,-0.0208,0.0576,2.7004,0.0047,0.2646
135,1114112,278528,511,518.8,15.19,,-0.0203,0.0539,2.6948,0.00466,0.2856
136,1122304,280576,515,521.5,14.92,,-0.0195,0.0705,2.6881,0.00479,0.2664
137,1130496,282624,519,524.3,15.04,,-0.0228,0.0602,2.7064,0.0049,0.2906
138,1138688,284672,520,527.1,15.04,,-0.0206,0.068,2.7096,0.00516,0.3073
139,1146880,286720,524,529.8,15.33,,-0.0223,0.0638,2.6946,0.00467,0.2693
140,1155072,288768,529,532.6,15.2,,-0.0174,0.0882,2.6824,0.00459,0.269
141,1163264,290816,533,535.4,15.5,,-0.0175,0.0733,2.6929,0.00481,0.2944
142,1171456,292864,536,538.2,15.38,,-0.0182,0.072,2.6656,0.00446,0.2576
143,1179648,294912,541,541.0,15.37,,-0.0168,0.0855,2.6737,0.00446,0.2572
144,1187840,296960,544,543.7,15.28,,-0.0217,0.0635,2.661,0.00512,0.2872
145,1196032,299008,548,546.5,15.55,,-0.0187,0.0748,2.661,0.00551,0.3043
146,1204224,301056,553,549.3,15.32,,-0.0131,0.0909,2.6565,0.00477,0.2902
147,1212416,303104,558,552.1,15.1,,-0.0173,0.0817,2.6156,0.00508,0.2897
148,1220608,305152,561,554.9,15.04,,-0.0195,0.0666,2.6643,0.00516,0.2814
149,1228800,307200,563,557.6,14.94,,-0.0243,0.0519,2.6763,0.00516,0.2905
150,1236992,309248,567,560.4,14.8,,-0.0209,0.0613,2.6735,0.00509,0.2972
151,1245184,311296,569,563.1,14.94,,-0.0237,0.0647,2.6772,0.0062,0.3265
152,1253376,313344,575,565.9,15.02,,-0.0176,0.0724,2.6724,0.00501,0.2922
153,1261568,315392,578,568.7,14.96,,-0.0234,0.0617,2.6587,0.00524,0.2776
154,1269760,317440,585,571.5,15.13,,-0.0177,0.0639,2.6665,0.00476,0.2711
155,1277952,319488,586,574.2,15.05,,-0.022,0.0661,2.6442,0.00622,0.3188
156,1286144,321536,589,577.0,15.02,,-0.0205,0.0664,2.6533,0.00472,0.275
157,1294336,323584,593,579.7,15.31,,-0.0216,0.058,2.6551,0.00474,0.2664
158,1302528,325632,597,582.5,15.56,,-0.0225,0.0628,2.6854,0.0046,0.2665
159,1310720,327680,604,585.3,15.36,,-0.0191,0.081,2.6447,0.00504,0.2841
160,1318912,329728,606,588.1,15.41,,-0.0196,0.0582,2.6753,0.00431,0.2506
