game,best_greedy,random_score,frames_at_best,episodes_at_best,iters_at_best,total_frames,total_episodes,wall_s,stop_reason
Assault,2104.9599609375,222.4,17211392,5367,2100,22126592,6494,9272.7,plateau
BeamRider,2801.89990234375,363.9,21307392,3103,2600,26222592,3743,19719.2,plateau
Boxing,71.86000061035156,0.1,21307392,2976,2600,26222592,3665,17668.5,plateau
Breakout,278.55999755859375,1.7,11476992,3516,1400,16392192,4520,12313.5,plateau
Freeway,31.860000610351562,0.0,13115392,1600,1600,18030592,2192,14293.5,plateau
Krull,4198.2998046875,1598.0,3284992,602,400,8200192,1543,5062.4,plateau
Pong,20.0,-20.7,2465792,310,300,7380992,897,4619.8,plateau
Qbert,18000.0,163.9,21307392,6216,2600,26222592,7182,13293.4,plateau
Seaquest,1738.0,68.4,5742592,1103,700,10657792,1706,10061.7,plateau
SpaceInvaders,1078.550048828125,148.0,11476992,3806,1400,16392192,5096,7338.2,plateau
