global_step,episodic_return
0,0.0
4040,1.0
4048,1.0
4056,1.0
4057,0.0
4064,0.0
4072,0.0
4088,1.0
4096,1.0
8088,4.0
8112,3.0
8120,3.0
8136,3.0
8144,6.0
8145,5.0
8152,6.0
8176,5.0
12160,10.0
12176,10.0
12177,13.0
12184,9.0
12200,11.0
12224,13.0
12248,11.0
12249,9.0
16224,17.0
16240,11.0
16264,14.0
16265,13.0
16272,17.0
16288,17.0
16289,11.0
16328,14.0
20296,18.0
20304,16.0
20328,15.0
20344,16.0
20352,17.0
20360,18.0
20368,14.0
20392,19.0
24376,18.0
24384,20.0
24392,17.0
24408,17.0
24416,17.0
24432,18.0
24440,21.0
24464,19.0
28440,18.0
28448,16.0
28456,17.0
28457,17.0
28504,19.0
28512,17.0
28513,20.0
28552,19.0
32496,18.0
32528,21.0
32529,21.0
32544,21.0
32576,18.0
32592,18.0
32600,20.0
32616,20.0
36568,22.0
36576,22.0
36600,19.0
36608,19.0
36640,22.0
36656,20.0
36680,23.0
36688,21.0
40624,21.0
40632,22.0
40656,21.0
40680,18.0
40728,21.0
40736,20.0
40744,19.0
40768,17.0
44680,20.0
44720,22.0
44728,21.0
44736,22.0
44776,21.0
44784,19.0
44808,21.0
44816,23.0
48728,22.0
48784,19.0
48792,21.0
48800,20.0
48848,22.0
48849,20.0
48872,23.0
48904,21.0
52800,25.0
52832,22.0
52848,23.0
52880,20.0
52912,21.0
52920,22.0
52936,21.0
52960,20.0
56856,24.0
56896,22.0
56904,23.0
56936,21.0
56960,21.0
56976,20.0
57016,23.0
57017,23.0
60896,20.0
60936,22.0
60944,22.0
60984,20.0
61032,26.0
61072,23.0
61080,18.0
61096,24.0
64984,23.0
65016,23.0
65032,24.0
65040,21.0
65096,21.0
65120,23.0
65160,24.0
65161,26.0
69072,23.0
69096,22.0
69120,21.0
69128,23.0
69160,22.0
69192,23.0
69200,22.0
69208,22.0
73160,22.0
73161,20.0
73168,21.0
73216,26.0
73248,24.0
73256,27.0
73280,22.0
73296,23.0
77216,20.0
77217,19.0
77256,20.0
77272,25.0
77312,19.0
77328,20.0
77344,22.0
77360,22.0
81280,25.0
81296,19.0
81328,21.0
81360,18.0
81376,24.0
81416,24.0
81417,24.0
81424,21.0
85320,20.0
85344,21.0
85376,22.0
85416,21.0
85464,22.0
85496,22.0
85497,23.0
85504,20.0
89376,23.0
89416,23.0
89440,19.0
89496,19.0
89504,21.0
89544,23.0
89560,21.0
89568,19.0
93440,25.0
93488,20.0
93512,18.0
93584,20.0
93600,27.0
93616,24.0
93640,23.0
93648,19.0
97496,23.0
97536,20.0
97560,20.0
97656,20.0
97688,20.0
97704,24.0
97705,23.0
97706,20.0
101584,23.0
101600,24.0
101648,22.0
101728,23.0
101729,20.0
101760,22.0
101761,20.0
101776,23.0
105632,21.0
105656,20.0
105712,24.0
105768,21.0
105824,22.0
105840,22.0
105848,19.0
105856,21.0
109704,25.0
109705,20.0
109784,23.0
109864,21.0
109904,21.0
109920,21.0
109928,19.0
109952,24.0
113752,21.0
113760,21.0
113840,25.0
113936,23.0
113992,21.0
113993,20.0
114000,21.0
114048,23.0
117792,22.0
117800,22.0
117904,22.0
117976,23.0
118032,22.0
118056,23.0
118088,21.0
118120,23.0
121840,23.0
121880,19.0
122000,20.0
122056,24.0
122072,19.0
122128,20.0
122184,22.0
122185,23.0
125928,22.0
125944,20.0
126080,21.0
126120,21.0
126144,19.0
126200,23.0
126264,22.0
126265,21.0
129968,19.0
130016,23.0
130152,22.0
130200,22.0
130232,20.0
130272,23.0
130312,22.0
130336,23.0
134032,26.0
134064,25.0
134224,22.0
134248,22.0
134320,22.0
134344,24.0
134360,19.0
134432,21.0
138088,23.0
138112,19.0
138288,21.0
138296,20.0
138400,23.0
138432,21.0
138448,21.0
138496,19.0
142128,26.0
142168,20.0
142352,24.0
142368,24.0
142496,20.0
142497,24.0
142504,25.0
142560,26.0
146184,23.0
146248,23.0
146408,21.0
146456,23.0
146536,18.0
146592,21.0
146593,21.0
146624,22.0
150248,22.0
150296,23.0
150488,24.0
150512,26.0
150624,22.0
150648,20.0
150656,20.0
150664,22.0
154288,22.0
154392,21.0
154536,24.0
154568,20.0
