global_step,episodic_return
0,0.0
480,55.0
528,15.0
568,65.0
664,80.0
672,15.0
688,75.0
832,150.0
1408,310.0
1456,35.0
1640,85.0
1648,130.0
1664,85.0
1880,175.0
1984,220.0
2136,30.0
2160,30.0
2344,330.0
2544,135.0
2576,285.0
2744,45.0
2856,95.0
2944,175.0
3104,75.0
3296,525.0
3432,35.0
3776,450.0
3848,370.0
3912,345.0
4016,35.0
4080,235.0
4192,320.0
4208,60.0
4232,50.0
4248,135.0
4536,20.0
4632,90.0
4640,145.0
4672,65.0
4744,120.0
4824,65.0
4888,60.0
5168,120.0
5320,15.0
5336,125.0
5408,50.0
5464,80.0
5608,45.0
5672,115.0
5888,205.0
6048,40.0
6280,150.0
6312,70.0
6328,175.0
6408,65.0
6448,110.0
6504,45.0
6904,15.0
6968,125.0
7064,80.0
7352,185.0
7488,110.0
7616,220.0
7704,180.0
7792,120.0
8024,125.0
8320,95.0
8328,265.0
8360,140.0
8392,630.0
8568,135.0
8680,140.0
9232,155.0
9304,210.0
9320,85.0
9384,290.0
9496,270.0
9672,275.0
9696,20.0
9832,220.0
10208,105.0
10240,165.0
10352,100.0
10392,120.0
10784,60.0
10848,570.0
10928,245.0
10960,95.0
11264,370.0
11296,120.0
11336,130.0
11552,135.0
11656,95.0
11752,20.0
11776,165.0
11992,50.0
12032,200.0
12440,35.0
12528,20.0
12640,340.0
12704,45.0
12800,150.0
12856,190.0
12904,110.0
13264,200.0
13320,20.0
13384,25.0
13456,80.0
13496,120.0
13672,175.0
13760,220.0
13776,20.0
14040,80.0
14176,140.0
14232,55.0
14296,60.0
14472,95.0
14504,115.0
14608,80.0
14816,115.0
14856,50.0
14952,90.0
15032,35.0
15464,305.0
15640,20.0
15952,360.0
15984,315.0
16000,300.0
16024,175.0
16080,110.0
16128,220.0
16176,450.0
16816,100.0
16848,230.0
16864,160.0
16880,90.0
17104,195.0
17304,145.0
17480,435.0
17712,155.0
17736,125.0
17968,445.0
17992,40.0
18016,45.0
18048,130.0
18224,125.0
18296,60.0
18456,200.0
18872,190.0
18912,65.0
18936,120.0
18937,70.0
19104,160.0
19136,160.0
19344,335.0
19360,170.0
19456,65.0
19592,45.0
19664,40.0
19696,30.0
19848,125.0
20160,190.0
20320,105.0
20321,30.0
20408,125.0
20592,225.0
20800,140.0
20968,260.0
21024,265.0
21328,115.0
21376,185.0
21496,190.0
21568,235.0
21728,50.0
21729,105.0
21872,110.0
22160,210.0
22200,110.0
22216,20.0
22472,85.0
22728,20.0
22768,110.0
22904,245.0
22960,390.0
23032,115.0
23144,155.0
23176,70.0
23328,395.0
23352,30.0
23560,5.0
23600,55.0
23608,30.0
23848,390.0
23904,130.0
24176,120.0
24240,160.0
24344,80.0
24496,215.0
24568,545.0
24632,55.0
24760,150.0
24872,370.0
25112,210.0
25152,135.0
25192,35.0
25336,95.0
25400,90.0
25448,190.0
25560,75.0
25816,50.0
25944,60.0
26168,320.0
26344,80.0
26400,105.0
26456,230.0
26504,485.0
26584,80.0
26720,165.0
26888,310.0
27064,160.0
27096,90.0
27224,100.0
27248,120.0
27392,140.0
27600,115.0
27968,180.0
27969,95.0
28184,170.0
28208,90.0
28312,275.0
28432,455.0
28544,210.0
28608,315.0
28824,120.0
28992,180.0
29016,115.0
29112,115.0
29144,55.0
29552,75.0
29720,230.0
29848,380.0
29864,260.0
30056,145.0
30096,110.0
30136,200.0
30216,195.0
30304,80.0
30576,90.0
30704,45.0
30712,110.0
30760,200.0
30976,65.0
31320,230.0
31392,255.0
31504,90.0
31592,330.0
31616,95.0
31696,155.0
31704,185.0
31824,115.0
32008,110.0
32208,65.0
32360,90.0
32384,175.0
32760,105.0
32792,165.0
32856,565.0
32857,90.0
32968,45.0
33240,375.0
33392,505.0
33480,110.0
33592,105.0
33824,170.0
33976,435.0
34104,150.0
34264,220.0
34352,120.0
34408,160.0
34416,45.0
34560,155.0
34616,345.0
34720,75.0
34752,175.0
34824,50.0
34936,90.0
35112,105.0
35168,70.0
35264,90.0
35544,45.0
35656,185.0
35768,110.0
36048,285.0
36080,480.0
36520,30.0
36521,390.0
36522,200.0
36544,170.0
36680,85.0
36976,15.0
37072,515.0
37272,465.0
37400,105.0
37456,180.0
37464,220.0
37480,105.0
37688,125.0
38104,115.0
38192,35.0
38360,130.0
38392,190.0
38408,245.0
38608,280.0
38616,145.0
38640,45.0
38672,260.0
38856,30.0
39136,60.0
39144,130.0
39416,80.0
39432,160.0
39624,260.0
39656,105.0
39784,135.0
39928,200.0
40016,205.0
40056,245.0
40320,100.0
40488,140.0
40560,245.0
40576,175.0
40584,120.0
40624,25.0
41264,120.0
41336,100.0
41376,365.0
41504,100.0
41592,335.0
41784,335.0
42088,105.0
42128,105.0
42320,350.0
42392,275.0
42424,120.0
42568,690.0
42648,380.0
42720,105.0
43104,110.0
43192,205.0
43520,205.0
43576,620.0
43656,145.0
43832,125.0
43856,250.0
43864,375.0
44448,315.0
44472,155.0
44496,160.0
44864,475.0
45000,225.0
45088,210.0
45096,290.0
45440,135.0
45544,55.0
45856,270.0
46024,260.0
46184,255.0
46208,575.0
46248,140.0
46304,105.0
46752,340.0
46776,615.0
46872,90.0
47072,225.0
47112,140.0
47464,205.0
47465,115.0
47496,310.0
47808,300.0
47912,120.0
47960,405.0
48128,260.0
48232,505.0
48336,180.0
48360,115.0
48512,90.0
48744,175.0
48880,215.0
49200,280.0
49216,105.0
49256,125.0
49408,215.0
49440,165.0
49544,140.0
49688,225.0
49728,230.0
50408,230.0
50544,150.0
50584,155.0
50608,305.0
50744,275.0
50768,280.0
51080,125.0
51216,440.0
51240,480.0
51456,380.0
51728,220.0
51752,170.0
52208,470.0
52360,190.0
52536,80.0
52632,400.0
52633,125.0
52704,275.0
52784,230.0
52880,385.0
53448,265.0
53464,185.0
53504,140.0
53656,120.0
53736,205.0
53808,200.0
54008,105.0
54032,110.0
54033,55.0
54200,405.0
54304,470.0
54312,65.0
54624,190.0
54720,110.0
54824,140.0
55456,475.0
55600,330.0
55824,555.0
55840,615.0
55856,140.0
55864,320.0
55928,235.0
56384,250.0
56856,165.0
57008,175.0
57040,435.0
57160,245.0
57208,155.0
57232,290.0
57616,600.0
57992,335.0
58120,145.0
58176,465.0
58416,315.0
58448,345.0
58552,170.0
