method,task,success_pct,success_ci,mean_steps,steps_ci
constrained,1,100.0,0.0,14.8,0.0
constrained,2,100.0,0.0,13.2,0.0
constrained,3,100.0,0.0,12.6,0.0
constrained,4,100.0,0.0,11.0,0.0
constrained,5,100.0,0.0,11.3,0.0
constrained,6,100.0,0.0,10.3,0.0
constrained,7,100.0,0.0,12.2,0.0
constrained,8,100.0,0.0,11.0,0.0
constrained,9,100.0,0.0,14.0,0.1
constrained,10,100.0,0.0,13.5,0.0
constrained,11,100.0,0.0,11.7,0.0
constrained,12,100.0,0.0,11.0,0.0
constrained,13,100.0,0.0,9.4,0.0
constrained,14,100.0,0.0,8.8,0.1
constrained,15,100.0,0.0,8.4,0.0
constrained,16,100.0,0.0,7.9,0.0
constrained,17,100.0,0.0,9.4,0.0
constrained,18,100.0,0.0,9.2,0.0
constrained,19,100.0,0.0,11.4,0.1
constrained,20,100.0,0.0,16.0,1.3
constrained,mean,100.0,0.0,11.3,0.0
localfree,1,100.0,0.0,14.8,0.0
localfree,2,100.0,0.0,13.2,0.0
localfree,3,100.0,0.0,12.6,0.0
localfree,4,100.0,0.0,11.0,0.0
localfree,5,100.0,0.0,11.3,0.1
localfree,6,100.0,0.0,10.3,0.0
localfree,7,100.0,0.0,12.2,0.0
localfree,8,100.0,0.0,11.1,0.0
localfree,9,100.0,0.0,14.0,0.0
localfree,10,100.0,0.0,13.5,0.1
localfree,11,100.0,0.0,11.7,0.0
localfree,12,100.0,0.0,11.0,0.0
localfree,13,100.0,0.0,9.4,0.0
localfree,14,100.0,0.0,8.8,0.1
localfree,15,100.0,0.0,8.4,0.0
localfree,16,100.0,0.0,7.8,0.0
localfree,17,100.0,0.0,9.3,0.1
localfree,18,100.0,0.0,9.2,0.0
localfree,19,100.0,0.0,11.4,0.1
localfree,20,100.0,0.0,14.5,0.8
localfree,mean,100.0,0.0,11.3,0.0
finetune,1,51.6,12.0,98.9,14.5
finetune,2,8.6,16.5,143.0,13.5
finetune,3,53.0,14.6,99.2,20.5
finetune,4,17.4,20.8,134.0,21.3
finetune,5,65.8,19.1,89.4,18.1
finetune,6,7.8,5.1,141.4,5.2
finetune,7,21.4,23.2,128.7,21.7
finetune,8,26.6,7.1,124.1,6.4
finetune,9,21.0,7.2,128.4,5.8
finetune,10,6.4,4.6,144.4,3.9
finetune,11,16.6,17.7,134.4,17.5
finetune,12,73.6,26.2,68.3,34.3
finetune,13,80.6,20.7,56.3,29.9
finetune,14,100.0,0.0,13.6,3.8
finetune,15,98.6,3.2,17.3,10.6
finetune,16,94.2,8.1,29.6,15.9
finetune,17,48.4,22.9,88.6,28.7
finetune,18,41.4,12.4,94.2,16.1
finetune,19,100.0,0.0,13.3,1.5
finetune,20,100.0,0.0,11.5,0.0
finetune,mean,51.6,4.0,87.9,0.0
