method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,0.5504,0.0,100.0,0.0
constrained,2,0.5504,0.0,100.0,0.0
constrained,3,0.602,0.0,100.0,0.0
constrained,4,0.602,0.0,100.0,0.0
constrained,5,0.619,0.0,100.0,0.0
constrained,6,0.619,0.0,100.0,0.0
constrained,7,0.602,0.0,100.0,0.0
constrained,8,0.602,0.0,100.0,0.0
constrained,9,0.5504,0.0,100.0,0.0
constrained,10,0.5504,0.0,100.0,0.0
constrained,11,0.6115,0.0,100.0,0.0
constrained,12,0.6115,0.0,100.0,0.0
constrained,13,0.6687,0.0,100.0,0.0
constrained,14,0.6687,0.0,100.0,0.0
constrained,15,0.6876,0.0,100.0,0.0
constrained,16,0.6876,0.0,100.0,0.0
constrained,17,0.6686,0.0,100.0,0.0
constrained,18,0.6685,0.0,100.0,0.0
constrained,19,0.6107,0.0003,100.0,0.1
constrained,20,0.5166,0.0249,84.5,4.1
constrained,mean,0.6124,0.0012,99.2,0.2
localfree,1,0.5504,0.0,100.0,0.0
localfree,2,0.5504,0.0,100.0,0.0
localfree,3,0.602,0.0,100.0,0.0
localfree,4,0.602,0.0,100.0,0.0
localfree,5,0.6191,0.0,100.0,0.0
localfree,6,0.619,0.0,100.0,0.0
localfree,7,0.602,0.0,100.0,0.0
localfree,8,0.602,0.0,100.0,0.0
localfree,9,0.5504,0.0,100.0,0.0
localfree,10,0.5504,0.0,100.0,0.0
localfree,11,0.6115,0.0,100.0,0.0
localfree,12,0.6115,0.0,100.0,0.0
localfree,13,0.6687,0.0,100.0,0.0
localfree,14,0.6687,0.0,100.0,0.0
localfree,15,0.6876,0.0,100.0,0.0
localfree,16,0.6876,0.0,100.0,0.0
localfree,17,0.6686,0.0,100.0,0.0
localfree,18,0.6684,0.0001,100.0,0.0
localfree,19,0.6108,0.0003,100.0,0.1
localfree,20,0.5436,0.0138,88.9,2.3
localfree,mean,0.6137,0.0007,99.4,0.1
finetune,1,0.1371,0.0468,24.9,8.5
finetune,2,0.0152,0.0172,2.8,3.1
finetune,3,0.138,0.0693,22.9,11.5
finetune,4,0.0496,0.0442,8.2,7.3
finetune,5,0.1369,0.0426,22.1,6.9
finetune,6,0.0418,0.0182,6.8,2.9
finetune,7,0.077,0.0464,12.8,7.7
finetune,8,0.0806,0.0099,13.4,1.6
finetune,9,0.0727,0.0161,13.2,2.9
finetune,10,0.0241,0.0088,4.4,1.6
finetune,11,0.0714,0.0521,11.7,8.5
finetune,12,0.2583,0.114,42.2,18.7
finetune,13,0.3076,0.1032,46.0,15.4
finetune,14,0.567,0.0534,84.8,8.0
finetune,15,0.5673,0.0868,82.5,12.6
finetune,16,0.4785,0.0958,69.6,13.9
finetune,17,0.2063,0.0989,30.8,14.8
finetune,18,0.2462,0.063,36.8,9.4
finetune,19,0.5712,0.0251,93.5,4.1
finetune,20,0.6113,0.0,100.0,0.0
finetune,mean,0.2329,0.0151,36.5,2.3
