method,task,success_rate_pct,mean_return,mean_steps
constrained,1,100.0,1.0,7.1
constrained,2,100.0,1.0,6.3
constrained,3,100.0,1.0,6.6
constrained,4,100.0,1.0,7.3
constrained,5,100.0,1.0,3.9
constrained,6,100.0,1.0,5.9
unconstrained,1,100.0,1.0,7.1
unconstrained,2,100.0,1.0,6.3
unconstrained,3,100.0,1.0,6.6
unconstrained,4,100.0,1.0,7.3
unconstrained,5,100.0,1.0,3.9
unconstrained,6,71.0,0.71,83.6
finetune,1,99.7,0.997,33.6
finetune,2,42.3,0.423,95.5
finetune,3,52.0,0.52,97.0
finetune,4,54.0,0.54,98.0
finetune,5,11.3,0.113,133.9
finetune,6,100.0,1.0,5.3
joint,1,99.7,0.997,21.3
joint,2,100.0,1.0,6.4
joint,3,100.0,1.0,6.6
joint,4,100.0,1.0,7.3
joint,5,71.0,0.71,62.4
joint,6,100.0,1.0,5.4
