method,task,final_value,expert_value,retention_pct
constrained,1,0.8413,0.8413,100.0
constrained,2,0.8408,0.8413,99.9
constrained,3,0.8412,0.8413,100.0
constrained,4,0.8407,0.8413,99.9
constrained,5,0.9154,0.9154,100.0
constrained,6,0.8644,0.878,98.4
constrained,mean,0.8573,0.8597,99.7
unconstrained,1,0.8412,0.8413,100.0
unconstrained,2,0.841,0.8413,100.0
unconstrained,3,0.8412,0.8413,100.0
unconstrained,4,0.8413,0.8413,100.0
unconstrained,5,0.9144,0.9154,99.9
unconstrained,6,0.2291,0.878,26.1
unconstrained,mean,0.7514,0.8597,87.7
finetune,1,0.5415,0.8413,64.4
finetune,2,0.27,0.8413,32.1
finetune,3,0.2276,0.8413,27.1
finetune,4,0.2062,0.8413,24.5
finetune,5,0.0753,0.9154,8.2
finetune,6,0.878,0.878,100.0
finetune,mean,0.3664,0.8597,42.7
joint,1,0.6806,0.8413,80.9
joint,2,0.8404,0.8413,99.9
joint,3,0.8408,0.8413,99.9
joint,4,0.8402,0.8413,99.9
joint,5,0.4877,0.9154,53.3
joint,6,0.8761,0.878,99.8
joint,mean,0.761,0.8597,88.9
