method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,300,307200,60.2,61.843,307200
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,34.0,96.342,460800
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,38.5,135.362,614400
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,42.5,178.632,768000
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,153.3,333.019,1280000
finetune,5,"biggrid50-goal(27,3)",finetune,300,307200,100.6,434.949,1587200
finetune,6,"biggrid50-goal(3,31)",finetune,150,153600,54.1,490.569,1740800
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,58.6,550.965,1894400
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,212.8,765.947,2406400
finetune,9,"biggrid50-goal(21,45)",finetune,250,256000,112.9,881.217,2662400
finetune,10,"biggrid50-goal(33,3)",finetune,200,204800,95.9,979.688,2867200
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,76.9,1059.465,3020800
finetune,12,"biggrid50-goal(21,3)",finetune,250,256000,132.6,1195.294,3276800
finetune,13,"biggrid50-goal(3,17)",finetune,150,153600,83.2,1281.921,3430400
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,86.1,1371.736,3584000
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,89.6,1465.21,3737600
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,307.9,1777.29,4249600
finetune,17,"biggrid50-goal(46,31)",finetune,200,204800,127.8,1909.5,4454400
finetune,18,"biggrid50-goal(46,24)",finetune,150,153600,100.0,2014.138,4608000
finetune,19,"biggrid50-goal(3,45)",finetune,200,204800,138.5,2157.598,4812800
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,357.4,2520.23,5324800
finetune,21,"biggrid50-goal(40,3)",finetune,150,153600,111.1,2636.74,5478400
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,115.1,2757.49,5632000
finetune,23,"biggrid50-goal(40,45)",finetune,150,153600,119.2,2882.656,5785600
finetune,24,"biggrid50-goal(15,17)",finetune,150,153600,121.6,3010.438,5939200
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,124.3,3141.067,6092800
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,128.2,3275.791,6246400
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,133.0,3415.604,6400000
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,458.7,3881.501,6912000
finetune,29,"biggrid50-goal(3,3)",finetune,500,512000,480.5,4369.648,7424000
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,147.9,4525.28,7577600
finetune,31,"biggrid50-goal(46,17)",finetune,150,153600,152.5,4685.947,7731200
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,517.4,5211.695,8243200
