method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
cka_rl,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.938775360584259,0.8224847561370774
cka_rl,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.8489795327186584,0.5621299637928553
cka_rl,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9445577263832092,0.7457094117100296
cka_rl,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.8010203242301941,0.4230766239684697
cka_rl,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.9323128461837769,0.6895472526511185
cka_rl,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9527209997177124,0.7807566343637807
cka_rl,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.7595237493515015,0.30276109937963447
cka_rl,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.8908162713050842,0.4992197687738013
cka_rl,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.9598638415336609,0.8138795995404018
cka_rl,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9853740334510803,0.9122442739355663
cka_rl,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.8091835379600525,0.44674511576833165
cka_rl,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.9068025946617126,0.5725423673210512
cka_rl,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8976190090179443,0.5252363014011
cka_rl,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.9425169229507446,0.6551018255099322
cka_rl,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.8034012913703918,0.2959802487307543
cka_rl,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.745918333530426,0.2633134402283136
cka_rl,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.9132652878761292,0.6021840459937287
cka_rl,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.8244897723197937,0.18611957125913814
cka_rl,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8380952477455139,0.02857229709552769
cka_rl,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.7768707275390625,0.20097432992406083
cka_rl,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.9030610918998718,0.6594977651442905
cka_rl,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.7408162951469421,0.24852054644429108
cka_rl,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.9326528906822205,0.691106894958569
cka_rl,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.8887754678726196,0.48422681064903456
cka_rl,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9632651209831238,0.7795909098224201
cka_rl,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.8013604879379272,0.2886721339678032
cka_rl,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.7585033774375916,0.15173235077425937
cka_rl,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.9799318313598633,0.9210168568280394
cka_rl,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.7914965152740479,0.3954632107170798
cka_rl,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.910544216632843,0.5897036269543371
cka_rl,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.832312822341919,0.22239681498575295
cka_rl,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.8829930424690247,0.29795884064294287
cka_rl,7,"biggrid50-goal(33,10)",4,"biggrid50-goal(21,17)",0.7816325426101685,0.218026384260115
cka_rl,7,"biggrid50-goal(33,10)",5,"biggrid50-goal(27,3)",0.8704081177711487,0.5448027383132508
cka_rl,7,"biggrid50-goal(33,10)",6,"biggrid50-goal(3,31)",0.8972788453102112,0.5957159911729027
cka_rl,7,"biggrid50-goal(33,10)",7,"biggrid50-goal(33,10)",0.9482991695404053,0.7994717440883309
cka_rl,8,"biggrid50-goal(27,45)",0,"biggrid50-goal(40,31)",0.8751699924468994,0.6380668070296229
cka_rl,8,"biggrid50-goal(27,45)",1,"biggrid50-goal(9,31)",0.877210795879364,0.4368171268135455
cka_rl,8,"biggrid50-goal(27,45)",2,"biggrid50-goal(15,31)",0.8666666150093079,0.38170308376887085
cka_rl,8,"biggrid50-goal(27,45)",3,"biggrid50-goal(9,24)",0.8489795327186584,0.09387795243910943
cka_rl,8,"biggrid50-goal(27,45)",4,"biggrid50-goal(21,17)",0.758163332939148,0.13398317120826045
cka_rl,8,"biggrid50-goal(27,45)",5,"biggrid50-goal(27,3)",0.7619047164916992,0.16367970578499869
cka_rl,8,"biggrid50-goal(27,45)",6,"biggrid50-goal(3,31)",0.8503400683403015,0.4109770541920619
cka_rl,8,"biggrid50-goal(27,45)",7,"biggrid50-goal(33,10)",0.8608842492103577,0.4604218418214541
cka_rl,8,"biggrid50-goal(27,45)",8,"biggrid50-goal(27,45)",0.6993196606636047,0.14999988205158793
cka_rl,9,"biggrid50-goal(21,45)",0,"biggrid50-goal(40,31)",0.8642855286598206,0.6065082995084877
cka_rl,9,"biggrid50-goal(21,45)",1,"biggrid50-goal(9,31)",0.878911554813385,0.44461779878563873
cka_rl,9,"biggrid50-goal(21,45)",2,"biggrid50-goal(15,31)",0.9149659276008606,0.6056778672300808
cka_rl,9,"biggrid50-goal(21,45)",3,"biggrid50-goal(9,24)",0.8755101561546326,0.2530615602218006
cka_rl,9,"biggrid50-goal(21,45)",4,"biggrid50-goal(21,17)",0.7615646123886108,0.14616314903568062
cka_rl,9,"biggrid50-goal(21,45)",5,"biggrid50-goal(27,3)",0.7574829459190369,0.148148039589052
cka_rl,9,"biggrid50-goal(21,45)",6,"biggrid50-goal(3,31)",0.8707481622695923,0.4912980557537177
cka_rl,9,"biggrid50-goal(21,45)",7,"biggrid50-goal(33,10)",0.8697278499603271,0.4947228737121595
cka_rl,9,"biggrid50-goal(21,45)",8,"biggrid50-goal(27,45)",0.7197278141975403,0.2076921573404857
cka_rl,9,"biggrid50-goal(21,45)",9,"biggrid50-goal(21,45)",0.9472787976264954,0.8218387181306697
cka_rl,10,"biggrid50-goal(33,3)",0,"biggrid50-goal(40,31)",0.8037413954734802,0.4309661212350903
cka_rl,10,"biggrid50-goal(33,3)",1,"biggrid50-goal(9,31)",0.8795918226242065,0.4477379035454866
cka_rl,10,"biggrid50-goal(33,3)",2,"biggrid50-goal(15,31)",0.8792517185211182,0.4400630413469753
cka_rl,10,"biggrid50-goal(33,3)",3,"biggrid50-goal(9,24)",0.9435373544692993,0.6612244095121781
cka_rl,10,"biggrid50-goal(33,3)",4,"biggrid50-goal(21,17)",0.7789114713668823,0.20828223124284695
cka_rl,10,"biggrid50-goal(33,3)",5,"biggrid50-goal(27,3)",0.8506801724433899,0.4755074511590494
cka_rl,10,"biggrid50-goal(33,3)",6,"biggrid50-goal(3,31)",0.9442175626754761,0.7804546935652131
cka_rl,10,"biggrid50-goal(33,3)",7,"biggrid50-goal(33,10)",0.896938681602478,0.6002635499953185
cka_rl,10,"biggrid50-goal(33,3)",8,"biggrid50-goal(27,45)",0.6969387531280518,0.14326924016621964
cka_rl,10,"biggrid50-goal(33,3)",9,"biggrid50-goal(21,45)",0.8710883259773254,0.5643675019190535
cka_rl,10,"biggrid50-goal(33,3)",10,"biggrid50-goal(33,3)",0.9241495132446289,0.7122574144772128
cka_rl,11,"biggrid50-goal(21,24)",0,"biggrid50-goal(40,31)",0.8153060078620911,0.4644966574364457
cka_rl,11,"biggrid50-goal(21,24)",1,"biggrid50-goal(9,31)",0.886734664440155,0.48049914021471396
cka_rl,11,"biggrid50-goal(21,24)",2,"biggrid50-goal(15,31)",0.8935373425483704,0.5063086953000642
cka_rl,11,"biggrid50-goal(21,24)",3,"biggrid50-goal(9,24)",0.9387754201889038,0.6326528276717909
cka_rl,11,"biggrid50-goal(21,24)",4,"biggrid50-goal(21,17)",0.7731292843818665,0.18757622624739972
cka_rl,11,"biggrid50-goal(21,24)",5,"biggrid50-goal(27,3)",0.7826529741287231,0.23655888539646522
cka_rl,11,"biggrid50-goal(21,24)",6,"biggrid50-goal(3,31)",0.9673468470573425,0.8714855999003468
cka_rl,11,"biggrid50-goal(21,24)",7,"biggrid50-goal(33,10)",0.9085032939910889,0.645118372093292
cka_rl,11,"biggrid50-goal(21,24)",8,"biggrid50-goal(27,45)",0.6989795565605164,0.14903843399556313
cka_rl,11,"biggrid50-goal(21,24)",9,"biggrid50-goal(21,45)",0.8789114356040955,0.5908042138406712
cka_rl,11,"biggrid50-goal(21,24)",10,"biggrid50-goal(33,3)",0.9469386339187622,0.7987090746453867
cka_rl,11,"biggrid50-goal(21,24)",11,"biggrid50-goal(21,24)",0.9625848531723022,0.8178799262377174
cka_rl,12,"biggrid50-goal(21,3)",0,"biggrid50-goal(40,31)",0.8442175388336182,0.5483229979398341
cka_rl,12,"biggrid50-goal(21,3)",1,"biggrid50-goal(9,31)",0.8948978185653687,0.5179401239512397
cka_rl,12,"biggrid50-goal(21,3)",2,"biggrid50-goal(15,31)",0.8741495609283447,0.41640318822048883
