method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
cka_rl,0,"biggrid50-goal(40,31)",cka_rl,250,256000,38.1,39.108,256000
cka_rl,1,"biggrid50-goal(9,31)",cka_rl,150,153600,28.5,67.902,409600
cka_rl,2,"biggrid50-goal(15,31)",cka_rl,150,153600,31.2,99.51,563200
cka_rl,3,"biggrid50-goal(9,24)",cka_rl,300,307200,68.6,168.64,870400
cka_rl,4,"biggrid50-goal(21,17)",cka_rl,500,512000,122.9,292.281,1382400
cka_rl,5,"biggrid50-goal(27,3)",cka_rl,500,512000,132.6,425.855,1894400
cka_rl,6,"biggrid50-goal(3,31)",cka_rl,150,153600,42.5,469.496,2048000
cka_rl,7,"biggrid50-goal(33,10)",cka_rl,150,153600,44.8,515.611,2201600
cka_rl,8,"biggrid50-goal(27,45)",cka_rl,500,512000,160.0,677.084,2713600
cka_rl,9,"biggrid50-goal(21,45)",cka_rl,150,153600,50.9,729.71,2867200
cka_rl,10,"biggrid50-goal(33,3)",cka_rl,150,153600,53.7,785.274,3020800
cka_rl,11,"biggrid50-goal(21,24)",cka_rl,150,153600,56.3,843.6,3174400
cka_rl,12,"biggrid50-goal(21,3)",cka_rl,400,409600,154.2,1000.014,3584000
cka_rl,13,"biggrid50-goal(3,17)",cka_rl,150,153600,60.5,1062.852,3737600
cka_rl,14,"biggrid50-goal(15,45)",cka_rl,200,204800,83.1,1148.465,3942400
cka_rl,15,"biggrid50-goal(3,24)",cka_rl,150,153600,64.9,1216.041,4096000
cka_rl,16,"biggrid50-goal(3,10)",cka_rl,500,512000,224.4,1443.37,4608000
cka_rl,17,"biggrid50-goal(46,31)",cka_rl,200,204800,93.5,1539.924,4812800
cka_rl,18,"biggrid50-goal(46,24)",cka_rl,150,153600,73.5,1616.688,4966400
cka_rl,19,"biggrid50-goal(3,45)",cka_rl,150,153600,76.4,1696.526,5120000
cka_rl,20,"biggrid50-goal(21,10)",cka_rl,500,512000,261.8,1961.867,5632000
cka_rl,21,"biggrid50-goal(40,3)",cka_rl,250,256000,135.6,2101.305,5888000
cka_rl,22,"biggrid50-goal(15,38)",cka_rl,150,153600,84.1,2189.356,6041600
cka_rl,23,"biggrid50-goal(40,45)",cka_rl,350,358400,202.8,2396.337,6400000
