method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.9554420709609985,0.8656406905119313
finetune,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.7727890610694885,0.31487154988468463
finetune,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9261903762817383,0.6661534450774267
finetune,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.8207481503486633,0.45948666683920836
finetune,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.9370747208595276,0.715384165366089
finetune,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9438775181770325,0.7573527668483298
finetune,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.7785713076591492,0.332307249340028
finetune,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9306121468544006,0.6861534504693537
finetune,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.9557821750640869,0.8088229078940451
finetune,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.9646257162094116,0.8257949830955835
finetune,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.7690475583076477,0.3035894786939743
finetune,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.8588435053825378,0.3615384138406454
finetune,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8554421067237854,0.37499961344629634
finetune,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.8976190090179443,0.4958122015896433
finetune,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.795578122138977,0.26438149902192937
finetune,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.7499999403953552,0.24615357793996698
finetune,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.8343536853790283,0.2507690909938912
finetune,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.8265305161476135,0.2499994845950618
finetune,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8636053800582886,0.32830789696612833
finetune,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.7935373187065125,0.2570376042417379
finetune,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.8595237135887146,0.4920044841879781
finetune,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.7629250884056091,0.2851278749762755
finetune,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.8979591131210327,0.5384612896033671
finetune,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.9091836214065552,0.6073526637673421
finetune,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9775508642196655,0.8894464662167041
finetune,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.7738094329833984,0.18604619238820824
finetune,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.7278910875320435,0.01598973835698611
finetune,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.9799317717552185,0.9345165473164035
finetune,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.8064624667167664,0.4164098311391779
finetune,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.8193877339363098,0.18307695169561278
finetune,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.8299320340156555,0.2647060491015977
finetune,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.8544217348098755,0.2830819049654192
finetune,7,"biggrid50-goal(33,10)",4,"biggrid50-goal(21,17)",0.7761905193328857,0.19461460585469645
finetune,7,"biggrid50-goal(33,10)",5,"biggrid50-goal(27,3)",0.8204081058502197,0.3505531842067089
finetune,7,"biggrid50-goal(33,10)",6,"biggrid50-goal(3,31)",0.788095235824585,0.30854605453683676
