method,task,task_name,phase,iter,frames_total,raw,normalized
finetune,0,"biggrid50-goal(40,31)",task1,10,10240,0.7867346405982971,0.3569228407842596
finetune,0,"biggrid50-goal(40,31)",task1,20,20480,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,30,30720,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,50,51200,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,60,61440,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,70,71680,0.8285714387893677,0.4830768932139345
finetune,0,"biggrid50-goal(40,31)",task1,80,81920,0.8316326141357422,0.49230751534183387
finetune,0,"biggrid50-goal(40,31)",task1,90,92160,0.8336734771728516,0.4984615030683668
finetune,0,"biggrid50-goal(40,31)",task1,100,102400,0.8346937894821167,0.5015381374697333
finetune,0,"biggrid50-goal(40,31)",task1,110,112640,0.8346937894821167,0.5015381374697333
finetune,0,"biggrid50-goal(40,31)",task1,120,122880,0.8346937894821167,0.5015381374697333
finetune,0,"biggrid50-goal(40,31)",task1,130,133120,0.8346937894821167,0.5015381374697333
finetune,0,"biggrid50-goal(40,31)",task1,140,143360,0.8091837167739868,0.4246154476594717
finetune,0,"biggrid50-goal(40,31)",task1,150,153600,0.8244897723197937,0.47076909749181867
finetune,0,"biggrid50-goal(40,31)",task1,160,163840,0.7806122303009033,0.3384614167975108
finetune,0,"biggrid50-goal(40,31)",task1,170,174080,0.8265306353569031,0.47692308521835153
finetune,0,"biggrid50-goal(40,31)",task1,180,184320,0.8448978662490845,0.5323073571785979
finetune,0,"biggrid50-goal(40,31)",task1,190,194560,0.8367345929145813,0.5076919454653163
finetune,0,"biggrid50-goal(40,31)",task1,200,204800,0.8357142210006714,0.5046151313329997
finetune,0,"biggrid50-goal(40,31)",task1,210,215040,0.8306121826171875,0.48923052147856744
finetune,0,"biggrid50-goal(40,31)",task1,220,225280,0.9183672070503235,0.7538457031362332
finetune,0,"biggrid50-goal(40,31)",task1,230,235520,0.8020407557487488,0.4030766703475565
finetune,0,"biggrid50-goal(40,31)",task1,240,245760,0.851020336151123,0.5507689608962967
finetune,0,"biggrid50-goal(40,31)",task1,250,256000,0.9479590654373169,0.8430765481305106
finetune,0,"biggrid50-goal(40,31)",task1,260,266240,0.9224488139152527,0.766153319127399
finetune,0,"biggrid50-goal(40,31)",task1,270,276480,0.9479590654373169,0.8430765481305106
