method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,300,307200,44.4,50.368,307200
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,23.6,74.337,460800
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,26.4,101.106,614400
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,29.3,130.951,768000
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,106.2,237.928,1280000
finetune,5,"biggrid50-goal(27,3)",finetune,450,460800,104.3,343.196,1740800
finetune,6,"biggrid50-goal(3,31)",finetune,150,153600,36.8,381.12,1894400
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,40.6,423.073,2048000
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,143.2,567.756,2560000
finetune,9,"biggrid50-goal(21,45)",finetune,400,409600,123.2,692.634,2969600
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,49.4,743.867,3123200
finetune,11,"biggrid50-goal(21,24)",finetune,150,153600,52.3,798.178,3276800
finetune,12,"biggrid50-goal(21,3)",finetune,300,307200,109.3,909.68,3584000
finetune,13,"biggrid50-goal(3,17)",finetune,350,358400,134.6,1046.641,3942400
finetune,14,"biggrid50-goal(15,45)",finetune,150,153600,60.6,1109.783,4096000
finetune,15,"biggrid50-goal(3,24)",finetune,150,153600,63.5,1176.007,4249600
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,215.0,1393.973,4761600
finetune,17,"biggrid50-goal(46,31)",finetune,200,204800,91.4,1488.422,4966400
finetune,18,"biggrid50-goal(46,24)",finetune,150,153600,71.3,1563.041,5120000
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,73.7,1640.203,5273600
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,256.2,1899.977,5785600
finetune,21,"biggrid50-goal(40,3)",finetune,150,153600,78.9,1982.713,5939200
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,82.6,2069.352,6092800
finetune,23,"biggrid50-goal(40,45)",finetune,400,409600,225.1,2298.657,6502400
finetune,24,"biggrid50-goal(15,17)",finetune,150,153600,86.5,2389.559,6656000
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,89.4,2483.413,6809600
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,92.7,2580.867,6963200
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,95.4,2681.304,7116800
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,325.9,3012.333,7628800
finetune,29,"biggrid50-goal(3,3)",finetune,500,512000,333.9,3351.593,8140800
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,102.1,3459.135,8294400
finetune,31,"biggrid50-goal(46,17)",finetune,250,256000,177.2,3641.939,8550400
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,362.9,4010.741,9062400
finetune,33,"biggrid50-goal(46,38)",finetune,150,153600,111.8,4128.653,9216000
finetune,34,"biggrid50-goal(27,31)",finetune,150,153600,114.5,4249.469,9369600
finetune,35,"biggrid50-goal(21,31)",finetune,250,256000,195.3,4451.193,9625600
finetune,36,"biggrid50-goal(46,10)",finetune,150,153600,119.3,4577.042,9779200
finetune,37,"biggrid50-goal(9,17)",finetune,150,153600,122.9,4706.743,9932800
finetune,38,"biggrid50-goal(33,24)",finetune,150,153600,125.8,4839.519,10086400
finetune,39,"biggrid50-goal(40,17)",finetune,150,153600,157.5,5004.193,10240000
finetune,40,"biggrid50-goal(40,38)",finetune,500,512000,532.0,5545.318,10752000
finetune,41,"biggrid50-goal(33,38)",finetune,450,460800,489.4,6043.962,11212800
finetune,42,"biggrid50-goal(9,45)",finetune,150,153600,166.8,6220.17,11366400
finetune,43,"biggrid50-goal(9,38)",finetune,150,153600,170.2,6400.021,11520000
finetune,44,"biggrid50-goal(9,3)",finetune,500,512000,577.7,6987.641,12032000
finetune,45,"biggrid50-goal(40,24)",finetune,150,153600,177.1,7174.833,12185600
finetune,46,"biggrid50-goal(33,31)",finetune,150,153600,180.2,7365.395,12339200
finetune,47,"biggrid50-goal(46,45)",finetune,350,358400,428.7,7804.666,12697600
finetune,48,"biggrid50-goal(3,38)",finetune,150,153600,186.8,8002.248,12851200
finetune,49,"biggrid50-goal(46,3)",finetune,500,512000,631.0,8644.27,13363200
