method,task,task_name,phase,iter,frames_total,raw,normalized
baseline,0,"biggrid50-goal(40,31)",task1,10,10240,0.8285714387893677,0.47114389895427455
baseline,0,"biggrid50-goal(40,31)",task1,20,20480,0.8285714387893677,0.47114389895427455
baseline,0,"biggrid50-goal(40,31)",task1,30,30720,0.8285714387893677,0.47114389895427455
baseline,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.47114389895427455
baseline,0,"biggrid50-goal(40,31)",task1,50,51200,0.8285714387893677,0.47114389895427455
baseline,0,"biggrid50-goal(40,31)",task1,60,61440,0.8346937894821167,0.4900313147602297
baseline,0,"biggrid50-goal(40,31)",task1,70,71680,0.8306121826171875,0.47743958163627437
baseline,0,"biggrid50-goal(40,31)",task1,80,81920,0.8499999046325684,0.537250589795029
baseline,0,"biggrid50-goal(40,31)",task1,90,92160,0.9275509119033813,0.7764949901900032
baseline,0,"biggrid50-goal(40,31)",task1,100,102400,0.8397958874702454,0.5057712569851407
baseline,0,"biggrid50-goal(40,31)",task1,110,112640,0.8448978662490845,0.5215108314500959
baseline,0,"biggrid50-goal(40,31)",task1,120,122880,0.8908162117004395,0.6631686565544938
baseline,0,"biggrid50-goal(40,31)",task1,130,133120,0.8857141733169556,0.6474288982095606
baseline,0,"biggrid50-goal(40,31)",task1,140,143360,0.8908162117004395,0.6631686565544938
baseline,0,"biggrid50-goal(40,31)",task1,150,153600,0.8571427464485168,0.5592862147019397
baseline,0,"biggrid50-goal(40,31)",task1,160,163840,0.9857140779495239,0.9559280146662671
baseline,0,"biggrid50-goal(40,31)",task1,170,174080,0.9653059840202332,0.8929691651665125
baseline,0,"biggrid50-goal(40,31)",task1,180,184320,0.911224365234375,0.7261276899342262
baseline,0,"biggrid50-goal(40,31)",task1,190,194560,0.946938693523407,0.8363061822287357
baseline,0,"biggrid50-goal(40,31)",task1,200,204800,0.9897958040237427,0.9685201155501781
baseline,0,"biggrid50-goal(40,31)",task1,210,215040,0.9367345571517944,0.8048264816588916
baseline,0,"biggrid50-goal(40,31)",task1,220,225280,0.9602039456367493,0.8772294068215795
baseline,0,"biggrid50-goal(40,31)",task1,230,235520,0.8091837167739868,0.41133289079551993
baseline,0,"biggrid50-goal(40,31)",task1,240,245760,0.8999999165534973,0.69150033190336
baseline,0,"biggrid50-goal(40,31)",task1,250,256000,0.8642856478691101,0.5813220234888283
baseline,1,"biggrid50-goal(9,31)",task1,10,266240,0.8081632852554321,0.1931331913883359
baseline,1,"biggrid50-goal(9,31)",task1,20,276480,0.8887754678726196,0.5321886980996368
baseline,1,"biggrid50-goal(9,31)",task1,30,286720,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,40,296960,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,50,307200,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,60,317440,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,70,327680,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,80,337920,0.851020336151123,0.3733903018625079
baseline,1,"biggrid50-goal(9,31)",task1,90,348160,0.8897958993911743,0.5364806415051484
baseline,1,"biggrid50-goal(9,31)",task1,100,358400,0.8999999165534973,0.5793988220721212
baseline,1,"biggrid50-goal(9,31)",task1,110,368640,0.9020407795906067,0.5879827088831445
baseline,1,"biggrid50-goal(9,31)",task1,120,378880,0.925510048866272,0.6866946495359963
baseline,1,"biggrid50-goal(9,31)",task1,130,389120,0.936734676361084,0.7339055256013672
baseline,1,"biggrid50-goal(9,31)",task1,140,399360,0.9479590654373169,0.7811153988762228
baseline,1,"biggrid50-goal(9,31)",task1,150,409600,0.9234692454338074,0.6781110134226017
baseline,2,"biggrid50-goal(15,31)",task1,10,419840,0.7795919179916382,-0.0964462339176466
baseline,2,"biggrid50-goal(15,31)",task1,20,430080,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,30,440320,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,40,450560,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,50,460800,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,60,471040,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,70,481280,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,80,491520,0.7918367385864258,-0.03553291665715363
baseline,2,"biggrid50-goal(15,31)",task1,90,501760,0.8918366432189941,0.46192850956379466
baseline,2,"biggrid50-goal(15,31)",task1,100,512000,0.8520407676696777,0.26395919068079676
baseline,2,"biggrid50-goal(15,31)",task1,110,522240,0.8520407676696777,0.26395919068079676
baseline,2,"biggrid50-goal(15,31)",task1,120,532480,0.890816330909729,0.45685284455768504
baseline,2,"biggrid50-goal(15,31)",task1,130,542720,0.8520407676696777,0.26395919068079676
baseline,2,"biggrid50-goal(15,31)",task1,140,552960,0.8540815114974976,0.2741111137138135
baseline,2,"biggrid50-goal(15,31)",task1,150,563200,0.8989794850349426,0.4974614262209483
baseline,2,"biggrid50-goal(15,31)",task1,160,573440,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,170,583680,0.7897959351539612,-0.045685136200569125
baseline,2,"biggrid50-goal(15,31)",task1,180,593920,0.813265323638916,0.07106612982470602
baseline,2,"biggrid50-goal(15,31)",task1,190,604160,0.9397957921028137,0.7005070031308533
baseline,2,"biggrid50-goal(15,31)",task1,200,614400,0.9051020741462708,0.5279189743823911
baseline,3,"biggrid50-goal(9,24)",task1,10,624640,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,20,634880,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,30,645120,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,40,655360,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,50,665600,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,60,675840,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,70,686080,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,80,696320,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,90,706560,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,100,716800,0.8775509595870972,0.44444441439684873
baseline,3,"biggrid50-goal(9,24)",task1,110,727040,0.8795917630195618,0.45370361105695034
baseline,3,"biggrid50-goal(9,24)",task1,120,737280,0.8887755274772644,0.4953706720983104
baseline,3,"biggrid50-goal(9,24)",task1,130,747520,0.893877387046814,0.5185179876776613
baseline,3,"biggrid50-goal(9,24)",task1,140,757760,0.8918365240097046,0.5092585205891985
baseline,3,"biggrid50-goal(9,24)",task1,150,768000,0.8622447848320007,0.3749997633751839
baseline,4,"biggrid50-goal(21,17)",task1,10,778240,0.7714284658432007,0.1834748577658161
baseline,4,"biggrid50-goal(21,17)",task1,20,788480,0.7714284658432007,0.1834748577658161
baseline,4,"biggrid50-goal(21,17)",task1,30,798720,0.7714284658432007,0.1834748577658161
baseline,4,"biggrid50-goal(21,17)",task1,40,808960,0.7714284658432007,0.1834748577658161
baseline,4,"biggrid50-goal(21,17)",task1,50,819200,0.7714284658432007,0.1834748577658161
baseline,4,"biggrid50-goal(21,17)",task1,60,829440,0.8214285969734192,0.3620901185568766
baseline,4,"biggrid50-goal(21,17)",task1,70,839680,0.7999999523162842,0.28554066023915786
baseline,4,"biggrid50-goal(21,17)",task1,80,849920,0.8020407557487488,0.29283101386570365
baseline,4,"biggrid50-goal(21,17)",task1,90,860160,0.7908163070678711,0.2527339624569891
baseline,4,"biggrid50-goal(21,17)",task1,100,870400,0.827551007270813,0.38396117943651414
baseline,4,"biggrid50-goal(21,17)",task1,110,880640,0.8295917510986328,0.391251320137635
baseline,4,"biggrid50-goal(21,17)",task1,120,890880,0.8295917510986328,0.391251320137635
baseline,4,"biggrid50-goal(21,17)",task1,130,901120,0.8214284777641296,0.36208969270602664
baseline,4,"biggrid50-goal(21,17)",task1,140,911360,0.7928571105003357,0.2600243160835349
baseline,4,"biggrid50-goal(21,17)",task1,150,921600,0.8183673024177551,0.35115426872892036
baseline,4,"biggrid50-goal(21,17)",task1,160,931840,0.7755101323127747,0.19805577794433277
baseline,4,"biggrid50-goal(21,17)",task1,170,942080,0.7765305638313293,0.2017010612203182
baseline,4,"biggrid50-goal(21,17)",task1,180,952320,0.7969387173652649,0.27460502333662656
baseline,4,"biggrid50-goal(21,17)",task1,190,962560,0.8571428060531616,0.4896718393349913
baseline,4,"biggrid50-goal(21,17)",task1,200,972800,0.8520407676696777,0.4714458488059142
baseline,4,"biggrid50-goal(21,17)",task1,210,983040,0.8428570628166199,0.43863893809832044
baseline,4,"biggrid50-goal(21,17)",task1,220,993280,0.8224489092826843,0.36573497598201204
baseline,4,"biggrid50-goal(21,17)",task1,230,1003520,0.9999998807907104,0.99999957414915
baseline,4,"biggrid50-goal(21,17)",task1,240,1013760,0.8132652044296265,0.33292806527441826
baseline,4,"biggrid50-goal(21,17)",task1,250,1024000,0.8877550959587097,0.5990279954348788
baseline,4,"biggrid50-goal(21,17)",task1,260,1034240,0.830612063407898,0.3948961775627704
baseline,4,"biggrid50-goal(21,17)",task1,270,1044480,0.8061224222183228,0.30741193404422035
baseline,4,"biggrid50-goal(21,17)",task1,280,1054720,0.8132652044296265,0.33292806527441826
baseline,4,"biggrid50-goal(21,17)",task1,290,1064960,0.7989794611930847,0.2818951640377474
baseline,4,"biggrid50-goal(21,17)",task1,300,1075200,0.8153060078620911,0.3402184189009641
baseline,4,"biggrid50-goal(21,17)",task1,310,1085440,0.8122447729110718,0.32928278199843286
baseline,4,"biggrid50-goal(21,17)",task1,320,1095680,0.8030611872673035,0.2964762971416891
baseline,4,"biggrid50-goal(21,17)",task1,330,1105920,0.7693876624107361,0.17618450413927025
baseline,4,"biggrid50-goal(21,17)",task1,340,1116160,0.8163264393806458,0.34386370217694956
baseline,4,"biggrid50-goal(21,17)",task1,350,1126400,0.8224489092826843,0.36573497598201204
baseline,4,"biggrid50-goal(21,17)",task1,360,1136640,0.8142856359481812,0.3365733485504037
baseline,4,"biggrid50-goal(21,17)",task1,370,1146880,0.8051019906997681,0.30376665076823495
baseline,4,"biggrid50-goal(21,17)",task1,380,1157120,0.8877550363540649,0.5990277825094539
baseline,4,"biggrid50-goal(21,17)",task1,390,1167360,0.8622447848320007,0.5078976169386434
baseline,4,"biggrid50-goal(21,17)",task1,400,1177600,0.8255101442337036,0.37667061288454334
baseline,4,"biggrid50-goal(21,17)",task1,410,1187840,0.8397958874702454,0.4277035141212142
baseline,4,"biggrid50-goal(21,17)",task1,420,1198080,0.8397958874702454,0.4277035141212142
baseline,4,"biggrid50-goal(21,17)",task1,430,1208320,0.8142856359481812,0.3365733485504037
baseline,4,"biggrid50-goal(21,17)",task1,440,1218560,0.8693876266479492,0.5334139610942663
baseline,4,"biggrid50-goal(21,17)",task1,450,1228800,0.8979590535163879,0.6354795506421831
baseline,4,"biggrid50-goal(21,17)",task1,460,1239040,0.8877550363540649,0.5990277825094539
baseline,4,"biggrid50-goal(21,17)",task1,470,1249280,0.8051019906997681,0.30376665076823495
baseline,4,"biggrid50-goal(21,17)",task1,480,1259520,0.7704080939292908,0.17982978741525568
baseline,4,"biggrid50-goal(21,17)",task1,490,1269760,0.7806121706962585,0.21628176847340988
baseline,4,"biggrid50-goal(21,17)",task1,500,1280000,0.7806121706962585,0.21628176847340988
baseline,5,"biggrid50-goal(27,3)",task1,10,1290240,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,20,1300480,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,30,1310720,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,40,1320960,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,50,1331200,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,60,1341440,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,70,1351680,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,80,1361920,0.7438774704933167,0.2164409395291486
baseline,5,"biggrid50-goal(27,3)",task1,90,1372160,0.7499998807907104,0.23517131076858216
baseline,5,"biggrid50-goal(27,3)",task1,100,1382400,0.7510203123092651,0.23829313048312895
baseline,5,"biggrid50-goal(27,3)",task1,110,1392640,0.7499999403953552,0.23517149311786456
baseline,5,"biggrid50-goal(27,3)",task1,120,1402880,0.7499999403953552,0.23517149311786456
baseline,5,"biggrid50-goal(27,3)",task1,130,1413120,0.7499999403953552,0.23517149311786456
baseline,5,"biggrid50-goal(27,3)",task1,140,1423360,0.7520408034324646,0.24141513254695812
baseline,5,"biggrid50-goal(27,3)",task1,150,1433600,0.7581632733345032,0.26014568613567407
baseline,5,"biggrid50-goal(27,3)",task1,160,1443840,0.8714284896850586,0.6066594687326597
baseline,5,"biggrid50-goal(27,3)",task1,170,1454080,0.760204017162323,0.26638896086620284
baseline,5,"biggrid50-goal(27,3)",task1,180,1464320,0.8632652163505554,0.5816854580641326
baseline,5,"biggrid50-goal(27,3)",task1,190,1474560,0.7999998927116394,0.38813701214500923
baseline,5,"biggrid50-goal(27,3)",task1,200,1484800,0.7714284658432007,0.30072806597980556
baseline,5,"biggrid50-goal(27,3)",task1,210,1495040,0.7867347002029419,0.3475546323008778
baseline,5,"biggrid50-goal(27,3)",task1,220,1505280,0.7734693288803101,0.3069717054088991
baseline,5,"biggrid50-goal(27,3)",task1,230,1515520,0.9530612230300903,0.8563995754179309
baseline,5,"biggrid50-goal(27,3)",task1,240,1525760,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,250,1536000,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,260,1546240,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,270,1556480,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,280,1566720,0.8051019906997681,0.4037459283684608
baseline,5,"biggrid50-goal(27,3)",task1,290,1576960,0.8051019906997681,0.4037459283684608
baseline,5,"biggrid50-goal(27,3)",task1,300,1587200,0.896938681602478,0.6847031381035055
baseline,5,"biggrid50-goal(27,3)",task1,310,1597440,0.9928570985794067,0.9781476266967373
baseline,5,"biggrid50-goal(27,3)",task1,320,1607680,0.8969386219978333,0.684702955754223
baseline,5,"biggrid50-goal(27,3)",task1,330,1617920,0.7673468589782715,0.2882411518201832
baseline,5,"biggrid50-goal(27,3)",task1,340,1628160,0.8397957682609558,0.5098850634238157
baseline,5,"biggrid50-goal(27,3)",task1,350,1638400,0.8091835975646973,0.4162328425280832
baseline,5,"biggrid50-goal(27,3)",task1,360,1648640,0.9948979616165161,0.9843912661258308
baseline,5,"biggrid50-goal(27,3)",task1,370,1658880,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,380,1669120,0.9999998807907104,0.9999996353014352
baseline,5,"biggrid50-goal(27,3)",task1,390,1679360,0.9999998807907104,0.9999996353014352
