method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
finetune,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.9336733222007751,0.8040196526842271
finetune,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.7765305042266846,0.3396981297826014
finetune,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.9387754201889038,0.7421200186886653
finetune,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.7782312631607056,0.3447234881700485
finetune,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.9234693050384521,0.6776501488892119
finetune,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.9312924146652222,0.700740385361767
finetune,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.7676870226860046,0.3135676398902924
finetune,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9255101084709167,0.6862460813177869
finetune,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.9142856597900391,0.6266665420532603
finetune,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.960884153842926,0.8333324867746368
finetune,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.7292516827583313,0.1999998943290449
finetune,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.9020407199859619,0.587392230747273
finetune,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.8700679540634155,0.43407392638411096
finetune,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.9200679659843445,0.6594200395681534
finetune,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.8013604283332825,0.2851893081437249
finetune,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.7734693288803101,0.3306530482636237
finetune,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.8204081058502197,0.24355292515018842
finetune,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.8098639845848083,0.17185227184518445
finetune,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.8374148607254028,0.30724594985155596
