method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
finetune,0,"biggrid50-goal(40,31)",task1,250,256000,59.6,63.602,256000
finetune,1,"biggrid50-goal(9,31)",finetune,150,153600,38.9,102.854,409600
finetune,2,"biggrid50-goal(15,31)",finetune,150,153600,41.6,144.867,563200
finetune,3,"biggrid50-goal(9,24)",finetune,150,153600,45.8,191.181,716800
finetune,4,"biggrid50-goal(21,17)",finetune,500,512000,161.1,353.116,1228800
finetune,5,"biggrid50-goal(27,3)",finetune,400,409600,137.8,492.164,1638400
finetune,6,"biggrid50-goal(3,31)",finetune,150,153600,53.7,547.051,1792000
finetune,7,"biggrid50-goal(33,10)",finetune,150,153600,58.2,606.88,1945600
finetune,8,"biggrid50-goal(27,45)",finetune,500,512000,206.2,815.049,2457600
finetune,9,"biggrid50-goal(21,45)",finetune,150,153600,66.2,883.401,2611200
finetune,10,"biggrid50-goal(33,3)",finetune,150,153600,69.7,955.015,2764800
finetune,11,"biggrid50-goal(21,24)",finetune,300,307200,145.9,1103.0,3072000
finetune,12,"biggrid50-goal(21,3)",finetune,150,153600,76.0,1181.867,3225600
finetune,13,"biggrid50-goal(3,17)",finetune,250,256000,129.8,1314.152,3481600
finetune,14,"biggrid50-goal(15,45)",finetune,200,204800,108.5,1425.645,3686400
finetune,15,"biggrid50-goal(3,24)",finetune,200,204800,116.0,1544.835,3891200
finetune,16,"biggrid50-goal(3,10)",finetune,500,512000,327.5,1875.331,4403200
finetune,17,"biggrid50-goal(46,31)",finetune,500,512000,335.4,2213.797,4915200
finetune,18,"biggrid50-goal(46,24)",finetune,300,307200,206.3,2423.258,5222400
finetune,19,"biggrid50-goal(3,45)",finetune,150,153600,105.5,2531.883,5376000
finetune,20,"biggrid50-goal(21,10)",finetune,500,512000,351.3,2886.422,5888000
finetune,21,"biggrid50-goal(40,3)",finetune,200,204800,131.8,3021.503,6092800
finetune,22,"biggrid50-goal(15,38)",finetune,150,153600,95.3,3120.132,6246400
finetune,23,"biggrid50-goal(40,45)",finetune,200,204800,130.6,3254.231,6451200
finetune,24,"biggrid50-goal(15,17)",finetune,150,153600,99.5,3357.392,6604800
finetune,25,"biggrid50-goal(15,24)",finetune,150,153600,105.6,3466.749,6758400
finetune,26,"biggrid50-goal(21,38)",finetune,150,153600,102.1,3572.794,6912000
finetune,27,"biggrid50-goal(33,17)",finetune,150,153600,106.7,3683.582,7065600
finetune,28,"biggrid50-goal(27,17)",finetune,500,512000,357.1,4044.93,7577600
finetune,29,"biggrid50-goal(3,3)",finetune,500,512000,356.1,4405.379,8089600
finetune,30,"biggrid50-goal(9,10)",finetune,150,153600,111.2,4521.163,8243200
finetune,31,"biggrid50-goal(46,17)",finetune,150,153600,111.6,4637.429,8396800
finetune,32,"biggrid50-goal(40,10)",finetune,500,512000,373.9,5016.158,8908800
finetune,33,"biggrid50-goal(46,38)",finetune,150,153600,111.2,5132.266,9062400
finetune,34,"biggrid50-goal(27,31)",finetune,150,153600,115.5,5252.879,9216000
finetune,35,"biggrid50-goal(21,31)",finetune,150,153600,117.4,5375.551,9369600
finetune,36,"biggrid50-goal(46,10)",finetune,150,153600,119.3,5500.356,9523200
finetune,37,"biggrid50-goal(9,17)",finetune,200,204800,158.1,5664.052,9728000
finetune,38,"biggrid50-goal(33,24)",finetune,150,153600,119.3,5789.112,9881600
finetune,39,"biggrid50-goal(40,17)",finetune,150,153600,121.3,5916.259,10035200
finetune,40,"biggrid50-goal(40,38)",finetune,500,512000,412.4,6334.627,10547200
finetune,41,"biggrid50-goal(33,38)",finetune,150,153600,125.2,6465.942,10700800
finetune,42,"biggrid50-goal(9,45)",finetune,150,153600,126.4,6598.746,10854400
finetune,43,"biggrid50-goal(9,38)",finetune,150,153600,128.4,6733.72,11008000
finetune,44,"biggrid50-goal(9,3)",finetune,500,512000,435.6,7176.032,11520000
finetune,45,"biggrid50-goal(40,24)",finetune,200,204800,177.1,7359.928,11724800
finetune,46,"biggrid50-goal(33,31)",finetune,150,153600,135.6,7502.552,11878400
finetune,47,"biggrid50-goal(46,45)",finetune,150,153600,138.1,7647.787,12032000
finetune,48,"biggrid50-goal(3,38)",finetune,150,153600,139.9,7794.989,12185600
finetune,49,"biggrid50-goal(46,3)",finetune,400,409600,383.6,8186.064,12595200
