method,task_idx,iter,mu,shortfall_current,coeff_current,grad_share_past,t_wall
constrained,1,0,0.0,0.04628545045852661,0.0,,76.837
constrained,1,5,0.0,0.05036645755171776,0.0,,78.586
constrained,1,10,0.0,0.05919894576072693,0.0,,80.841
constrained,1,15,0.0,0.049133338034152985,0.0,,82.599
constrained,1,20,0.0,0.03362654149532318,0.0,,84.849
constrained,1,25,0.0,0.039880212396383286,0.0,,86.58
constrained,1,30,0.0,0.05475953593850136,0.0,,88.826
constrained,1,35,0.0,0.05607333406805992,0.0,,90.568
constrained,1,40,0.0,0.056083112955093384,0.0,,92.82
constrained,1,45,0.0,0.032553452998399734,0.0,,94.562
constrained,1,50,0.0,0.02684534341096878,0.0,,97.064
constrained,1,55,0.0,0.03695155680179596,0.0,,98.808
constrained,1,60,0.0,0.02193281054496765,0.0,,101.06
constrained,1,65,0.0,0.023878518491983414,0.0,,102.805
constrained,1,70,0.0,0.010831598192453384,0.0,,105.05
constrained,1,75,0.0,0.00601697713136673,0.0,,106.807
constrained,1,80,0.0,0.019849304109811783,0.0,,109.046
constrained,1,85,0.0,0.018534719944000244,0.0,,110.841
constrained,1,90,0.0,0.0280214361846447,0.0,,113.098
constrained,1,95,0.0,0.037508631125092506,0.0,,114.85
constrained,1,100,0.0,0.015307880938053131,0.0,,117.348
constrained,1,105,0.0,0.025409366935491562,0.0,,119.096
constrained,1,110,0.0,0.022277329117059708,0.0,,121.35
constrained,1,115,0.0,0.02454402670264244,0.0,,123.093
constrained,1,120,0.0,0.013303909450769424,0.0,,125.348
constrained,1,125,0.0,0.01867711916565895,0.0,,127.089
constrained,1,130,0.0,0.0240677148103714,0.0,,129.336
constrained,1,135,0.0,0.013762515038251877,0.0,,131.085
constrained,1,140,0.0,0.029348183423280716,0.0,,133.33
constrained,1,145,0.0,0.025499124079942703,0.0,,135.077
constrained,2,0,0.0,0.051549386233091354,0.0,,176.491
constrained,2,5,0.0,0.05475509539246559,0.0,,178.244
constrained,2,10,0.0,0.04583561047911644,0.0,,180.756
constrained,2,15,0.0,0.04620189592242241,0.0,,182.502
constrained,2,20,0.0,0.03393303602933884,0.0,,185.013
constrained,2,25,0.0,0.03027018904685974,0.0,,186.749
constrained,2,30,0.0,0.02554910257458687,0.0,,189.252
constrained,2,35,0.0,0.025965407490730286,0.0,,191.017
constrained,2,40,0.0,0.009720534086227417,0.0,,193.524
constrained,2,45,0.0,0.018378976732492447,0.0,,195.271
constrained,2,50,0.0,0.025755852460861206,0.0,,198.18
constrained,2,55,0.0,0.018647510558366776,0.0,,199.922
constrained,2,60,0.0,0.01356232538819313,0.0,,202.457
constrained,2,65,0.0,0.021232925355434418,0.0,,204.199
constrained,2,70,0.0,0.012253772467374802,0.0,,206.711
constrained,2,75,0.0,0.0,0.0,,208.455
constrained,2,80,0.0,0.015708807855844498,0.0,,210.965
constrained,2,85,0.0,0.0074225738644599915,0.0,,212.715
