method,after_task,after_task_name,eval_task,eval_task_name,raw,normalized
constrained,0,"biggrid50-goal(40,31)",0,"biggrid50-goal(40,31)",0.938775360584259,0.8224847561370774
constrained,1,"biggrid50-goal(9,31)",0,"biggrid50-goal(40,31)",0.8884353041648865,0.676528365431725
constrained,1,"biggrid50-goal(9,31)",1,"biggrid50-goal(9,31)",0.8040816187858582,0.1014040881491789
constrained,2,"biggrid50-goal(15,31)",0,"biggrid50-goal(40,31)",0.9132652282714844,0.7485204600351824
constrained,2,"biggrid50-goal(15,31)",1,"biggrid50-goal(9,31)",0.9173468351364136,0.620904401171167
constrained,2,"biggrid50-goal(15,31)",2,"biggrid50-goal(15,31)",0.8707482218742371,0.40063041346975337
constrained,3,"biggrid50-goal(9,24)",0,"biggrid50-goal(40,31)",0.8928571343421936,0.6893490577173098
constrained,3,"biggrid50-goal(9,24)",1,"biggrid50-goal(9,31)",0.9221088290214539,0.6427456812534001
constrained,3,"biggrid50-goal(9,24)",2,"biggrid50-goal(15,31)",0.8989794850349426,0.5315451349012409
constrained,3,"biggrid50-goal(9,24)",3,"biggrid50-goal(9,24)",0.8571428060531616,0.14285755157436597
constrained,4,"biggrid50-goal(21,17)",0,"biggrid50-goal(40,31)",0.891496479511261,0.6854039634475645
constrained,4,"biggrid50-goal(21,17)",1,"biggrid50-goal(9,31)",0.9227889776229858,0.6458652392499501
constrained,4,"biggrid50-goal(21,17)",2,"biggrid50-goal(15,31)",0.9261903762817383,0.6577281621075843
constrained,4,"biggrid50-goal(21,17)",3,"biggrid50-goal(9,24)",0.9615644812583923,0.7693870799887705
constrained,4,"biggrid50-goal(21,17)",4,"biggrid50-goal(21,17)",0.7778911590576172,0.20462849402761882
constrained,5,"biggrid50-goal(27,3)",0,"biggrid50-goal(40,31)",0.9112244248390198,0.7426033370852169
constrained,5,"biggrid50-goal(27,3)",1,"biggrid50-goal(9,31)",0.9085033535957336,0.5803430392931445
constrained,5,"biggrid50-goal(27,3)",2,"biggrid50-goal(15,31)",0.9387753009796143,0.7160872904852288
constrained,5,"biggrid50-goal(27,3)",3,"biggrid50-goal(9,24)",0.9785712361335754,0.8714275240906872
constrained,5,"biggrid50-goal(27,3)",4,"biggrid50-goal(21,17)",0.8003400564193726,0.28501796986424527
constrained,5,"biggrid50-goal(27,3)",5,"biggrid50-goal(27,3)",0.7319727540016174,0.05854235359857934
constrained,6,"biggrid50-goal(3,31)",0,"biggrid50-goal(40,31)",0.8860543370246887,0.6696249689143231
constrained,6,"biggrid50-goal(3,31)",1,"biggrid50-goal(9,31)",0.9353740811347961,0.7035878607612586
constrained,6,"biggrid50-goal(3,31)",2,"biggrid50-goal(15,31)",0.9476189017295837,0.7570970576374476
constrained,6,"biggrid50-goal(3,31)",3,"biggrid50-goal(9,24)",0.9952380061149597,0.9714280605320426
constrained,6,"biggrid50-goal(3,31)",4,"biggrid50-goal(21,17)",0.8108842968940735,0.32277688297240636
constrained,6,"biggrid50-goal(3,31)",5,"biggrid50-goal(27,3)",0.7755100727081299,0.211469125827956
constrained,6,"biggrid50-goal(3,31)",6,"biggrid50-goal(3,31)",0.831292450428009,0.33601053584008383
constrained,7,"biggrid50-goal(33,10)",0,"biggrid50-goal(40,31)",0.8999999165534973,0.7100589016330803
constrained,7,"biggrid50-goal(33,10)",1,"biggrid50-goal(9,31)",0.8996598720550537,0.5397816774151218
constrained,7,"biggrid50-goal(33,10)",2,"biggrid50-goal(15,31)",0.9377549886703491,0.7113558726602381
constrained,7,"biggrid50-goal(33,10)",3,"biggrid50-goal(9,24)",0.9282311797142029,0.5693874376163407
constrained,7,"biggrid50-goal(33,10)",4,"biggrid50-goal(21,17)",0.7962585091590881,0.2704019537825081
constrained,7,"biggrid50-goal(33,10)",5,"biggrid50-goal(27,3)",0.7979591488838196,0.29032250635471996
constrained,7,"biggrid50-goal(33,10)",6,"biggrid50-goal(3,31)",0.9309523105621338,0.7282460777384164
constrained,7,"biggrid50-goal(33,10)",7,"biggrid50-goal(33,10)",0.8034012913703918,0.23746686841341746
constrained,8,"biggrid50-goal(27,45)",0,"biggrid50-goal(40,31)",0.9047618508338928,0.723865694667884
constrained,8,"biggrid50-goal(27,45)",1,"biggrid50-goal(9,31)",0.8982992768287659,0.533541194513777
constrained,8,"biggrid50-goal(27,45)",2,"biggrid50-goal(15,31)",0.9108843207359314,0.5867505375291983
constrained,8,"biggrid50-goal(27,45)",3,"biggrid50-goal(9,24)",0.9761903285980225,0.8571420907980638
constrained,8,"biggrid50-goal(27,45)",4,"biggrid50-goal(21,17)",0.8102040886878967,0.3203410581622543
constrained,8,"biggrid50-goal(27,45)",5,"biggrid50-goal(27,3)",0.8044216632843018,0.3130223761931391
constrained,8,"biggrid50-goal(27,45)",6,"biggrid50-goal(3,31)",0.9843536615371704,0.9384200415550124
constrained,8,"biggrid50-goal(27,45)",7,"biggrid50-goal(33,10)",0.9418365955352783,0.7744058276914755
constrained,8,"biggrid50-goal(27,45)",8,"biggrid50-goal(27,45)",0.6724490523338318,0.07403874571636641
constrained,9,"biggrid50-goal(21,45)",0,"biggrid50-goal(40,31)",0.9085033535957336,0.7347138398185962
constrained,9,"biggrid50-goal(21,45)",1,"biggrid50-goal(9,31)",0.889115571975708,0.4914193701833571
constrained,9,"biggrid50-goal(21,45)",2,"biggrid50-goal(15,31)",0.9394556879997253,0.7192423982356826
constrained,9,"biggrid50-goal(21,45)",3,"biggrid50-goal(9,24)",0.9629250764846802,0.7775506445342885
constrained,9,"biggrid50-goal(21,45)",4,"biggrid50-goal(21,17)",0.8006802201271057,0.28623609571348624
constrained,9,"biggrid50-goal(21,45)",5,"biggrid50-goal(27,3)",0.7574828863143921,0.14814783022508093
constrained,9,"biggrid50-goal(21,45)",6,"biggrid50-goal(3,31)",0.9510203003883362,0.8072285171447855
constrained,9,"biggrid50-goal(21,45)",7,"biggrid50-goal(33,10)",0.9499998688697815,0.8060681230501057
constrained,9,"biggrid50-goal(21,45)",8,"biggrid50-goal(27,45)",0.6751700639724731,0.08173083565775954
constrained,9,"biggrid50-goal(21,45)",9,"biggrid50-goal(21,45)",0.815646231174469,0.3770114812877428
constrained,10,"biggrid50-goal(33,3)",0,"biggrid50-goal(40,31)",0.9170067310333252,0.7593686051858946
constrained,10,"biggrid50-goal(33,3)",1,"biggrid50-goal(9,31)",0.8724488615989685,0.4149761201129613
constrained,10,"biggrid50-goal(33,3)",2,"biggrid50-goal(15,31)",0.9241496324539185,0.6482647736572964
constrained,10,"biggrid50-goal(33,3)",3,"biggrid50-goal(9,24)",0.9986393451690674,0.9918360778269119
constrained,10,"biggrid50-goal(33,3)",4,"biggrid50-goal(21,17)",0.7979592084884644,0.2764921561403831
constrained,10,"biggrid50-goal(33,3)",5,"biggrid50-goal(27,3)",0.8091835379600525,0.32974867320817414
constrained,10,"biggrid50-goal(33,3)",6,"biggrid50-goal(3,31)",0.9544216990470886,0.8206155462288369
constrained,10,"biggrid50-goal(33,3)",7,"biggrid50-goal(33,10)",0.9360543489456177,0.7519786478266951
constrained,10,"biggrid50-goal(33,3)",8,"biggrid50-goal(27,45)",0.7013605237007141,0.15576924437866294
constrained,10,"biggrid50-goal(33,3)",9,"biggrid50-goal(21,45)",0.9931971430778503,0.9770110381580953
constrained,10,"biggrid50-goal(33,3)",10,"biggrid50-goal(33,3)",0.750680148601532,0.054192771433042006
constrained,11,"biggrid50-goal(21,24)",0,"biggrid50-goal(40,31)",0.9346937537193298,0.8106505102371463
constrained,11,"biggrid50-goal(21,24)",1,"biggrid50-goal(9,31)",0.9006801843643188,0.5444614244824202
constrained,11,"biggrid50-goal(21,24)",2,"biggrid50-goal(15,31)",0.9370747804641724,0.7082015941102444
constrained,11,"biggrid50-goal(21,24)",3,"biggrid50-goal(9,24)",0.9765304923057556,0.8591830713413359
constrained,11,"biggrid50-goal(21,24)",4,"biggrid50-goal(21,17)",0.7741496562957764,0.19123017690679278
constrained,11,"biggrid50-goal(21,24)",5,"biggrid50-goal(27,3)",0.821768581867218,0.3739542007938663
constrained,11,"biggrid50-goal(21,24)",6,"biggrid50-goal(3,31)",0.9598637819290161,0.8420341828331398
constrained,11,"biggrid50-goal(21,24)",7,"biggrid50-goal(33,10)",0.9319726824760437,0.7361473845552767
constrained,11,"biggrid50-goal(21,24)",8,"biggrid50-goal(27,45)",0.6829931735992432,0.10384616291910861
constrained,11,"biggrid50-goal(21,24)",9,"biggrid50-goal(21,45)",0.9568026065826416,0.8540226201571217
constrained,11,"biggrid50-goal(21,24)",10,"biggrid50-goal(33,3)",0.9193876385688782,0.6941930065907469
constrained,11,"biggrid50-goal(21,24)",11,"biggrid50-goal(21,24)",0.9176868796348572,0.5993368241600489
constrained,12,"biggrid50-goal(21,3)",0,"biggrid50-goal(40,31)",0.9578229784965515,0.877711582639857
constrained,12,"biggrid50-goal(21,3)",1,"biggrid50-goal(9,31)",0.9295917749404907,0.6770668336117269
constrained,12,"biggrid50-goal(21,3)",2,"biggrid50-goal(15,31)",0.9343536496162415,0.6955830979095027
constrained,12,"biggrid50-goal(21,3)",3,"biggrid50-goal(9,24)",0.9646256566047668,0.7877541167403678
constrained,12,"biggrid50-goal(21,3)",4,"biggrid50-goal(21,17)",0.7863945364952087,0.23507907892866398
constrained,12,"biggrid50-goal(21,3)",5,"biggrid50-goal(27,3)",0.815646231174469,0.3524491711385066
constrained,12,"biggrid50-goal(21,3)",6,"biggrid50-goal(3,31)",0.9659861922264099,0.8661304129250773
constrained,12,"biggrid50-goal(21,3)",7,"biggrid50-goal(33,10)",0.946938693523407,0.7941949645767999
constrained,12,"biggrid50-goal(21,3)",8,"biggrid50-goal(27,45)",0.6897959113121033,0.12307697751465171
constrained,12,"biggrid50-goal(21,3)",9,"biggrid50-goal(21,45)",0.9598637819290161,0.8643672803542298
constrained,12,"biggrid50-goal(21,3)",10,"biggrid50-goal(33,3)",0.9064624905586243,0.6451608162143047
constrained,12,"biggrid50-goal(21,3)",11,"biggrid50-goal(21,24)",0.9156461954116821,0.5894036929882892
constrained,12,"biggrid50-goal(21,3)",12,"biggrid50-goal(21,3)",0.7986393570899963,0.35087688959317004
constrained,13,"biggrid50-goal(3,17)",0,"biggrid50-goal(40,31)",0.9945576786994934,0.9842204870121061
constrained,13,"biggrid50-goal(3,17)",1,"biggrid50-goal(9,31)",0.9122448563575745,0.5975037521631323
constrained,13,"biggrid50-goal(3,17)",2,"biggrid50-goal(15,31)",0.9489794969558716,0.7634064439378951
constrained,13,"biggrid50-goal(3,17)",3,"biggrid50-goal(9,24)",0.9911563396453857,0.9469380821506291
constrained,13,"biggrid50-goal(3,17)",4,"biggrid50-goal(21,17)",0.809183657169342,0.31668689405869627
constrained,13,"biggrid50-goal(3,17)",5,"biggrid50-goal(27,3)",0.8248298764228821,0.38470713434948833
constrained,13,"biggrid50-goal(3,17)",6,"biggrid50-goal(3,31)",0.9683672189712524,0.8755015209547378
constrained,13,"biggrid50-goal(3,17)",7,"biggrid50-goal(33,10)",0.9411563873291016,0.7717675535278132
constrained,13,"biggrid50-goal(3,17)",8,"biggrid50-goal(27,45)",0.6863945126533508,0.11346148596801442
constrained,13,"biggrid50-goal(3,17)",9,"biggrid50-goal(21,45)",0.966666579246521,0.8873560407735674
constrained,13,"biggrid50-goal(3,17)",10,"biggrid50-goal(33,3)",0.8982990980148315,0.6141925814979726
constrained,13,"biggrid50-goal(3,17)",11,"biggrid50-goal(21,24)",0.9353740811347961,0.6854301503910353
constrained,13,"biggrid50-goal(3,17)",12,"biggrid50-goal(21,3)",0.9006801843643188,0.6798242858249073
constrained,13,"biggrid50-goal(3,17)",13,"biggrid50-goal(3,17)",0.7710884213447571,0.10505332163839717
constrained,14,"biggrid50-goal(15,45)",0,"biggrid50-goal(40,31)",0.9840134382247925,0.9536484258766247
constrained,14,"biggrid50-goal(15,45)",1,"biggrid50-goal(9,31)",0.9064624905586243,0.5709824516319517
constrained,14,"biggrid50-goal(15,45)",2,"biggrid50-goal(15,31)",0.9585033059120178,0.8075704896401077
constrained,14,"biggrid50-goal(15,45)",3,"biggrid50-goal(9,24)",0.9870746731758118,0.9224481037692158
constrained,14,"biggrid50-goal(15,45)",4,"biggrid50-goal(21,17)",0.7948979139328003,0.2655296638297091
constrained,14,"biggrid50-goal(15,45)",5,"biggrid50-goal(27,3)",0.8027210235595703,0.307048803369755
constrained,14,"biggrid50-goal(15,45)",6,"biggrid50-goal(3,31)",0.9656460881233215,0.8647918507697905
constrained,14,"biggrid50-goal(15,45)",7,"biggrid50-goal(33,10)",0.9425168633460999,0.7770443330393441
constrained,14,"biggrid50-goal(15,45)",8,"biggrid50-goal(27,45)",0.689115583896637,0.12115374440713905
constrained,14,"biggrid50-goal(15,45)",9,"biggrid50-goal(21,45)",0.9499998688697815,0.8310340611603511
constrained,14,"biggrid50-goal(15,45)",10,"biggrid50-goal(33,3)",0.9683672189712524,0.8799994754174275
constrained,14,"biggrid50-goal(15,45)",11,"biggrid50-goal(21,24)",0.8918367028236389,0.47350981272782344
constrained,14,"biggrid50-goal(15,45)",12,"biggrid50-goal(21,3)",0.9789113402366638,0.9320168220459726
constrained,14,"biggrid50-goal(15,45)",13,"biggrid50-goal(3,17)",0.7972788214683533,0.20744662010441553
constrained,14,"biggrid50-goal(15,45)",14,"biggrid50-goal(15,45)",0.7833333611488342,0.09901001878537749
constrained,15,"biggrid50-goal(3,24)",0,"biggrid50-goal(40,31)",0.9030610918998718,0.7189344996489198
constrained,15,"biggrid50-goal(3,24)",1,"biggrid50-goal(9,31)",0.9190475344657898,0.6287047997616112
constrained,15,"biggrid50-goal(3,24)",2,"biggrid50-goal(15,31)",0.9455781579017639,0.7476336691871597
constrained,15,"biggrid50-goal(3,24)",3,"biggrid50-goal(9,24)",0.9758501648902893,0.8551011102547917
constrained,15,"biggrid50-goal(3,24)",4,"biggrid50-goal(21,17)",0.8105441331863403,0.3215587571231654
constrained,15,"biggrid50-goal(3,24)",5,"biggrid50-goal(27,3)",0.8421766757965088,0.44563854022227334
constrained,15,"biggrid50-goal(3,24)",6,"biggrid50-goal(3,31)",0.9537413716316223,0.8179379527412022
constrained,15,"biggrid50-goal(3,24)",7,"biggrid50-goal(33,10)",0.9217686057090759,0.6965695731530405
constrained,15,"biggrid50-goal(3,24)",8,"biggrid50-goal(27,45)",0.6836735010147095,0.10576939602662129
constrained,15,"biggrid50-goal(3,24)",9,"biggrid50-goal(21,45)",0.9653060436248779,0.8827583692587266
constrained,15,"biggrid50-goal(3,24)",10,"biggrid50-goal(33,3)",0.9397957921028137,0.771612349759099
constrained,15,"biggrid50-goal(3,24)",11,"biggrid50-goal(21,24)",0.9139454960823059,0.5811254550666309
