method,task,task_name,phase,iter,frames_total,raw,normalized
constrained,0,"biggrid50-goal(40,31)",task1,10,10240,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,20,20480,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,30,30720,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,40,40960,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,50,51200,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,60,61440,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,70,71680,0.8285714387893677,0.5029585614749827
constrained,0,"biggrid50-goal(40,31)",task1,80,81920,0.8295917510986328,0.5059168637226392
constrained,0,"biggrid50-goal(40,31)",task1,90,92160,0.8540815114974976,0.5769226847586603
constrained,0,"biggrid50-goal(40,31)",task1,100,102400,0.8602040410041809,0.5946743992449918
constrained,0,"biggrid50-goal(40,31)",task1,110,112640,0.8602040410041809,0.5946743992449918
constrained,0,"biggrid50-goal(40,31)",task1,120,122880,0.8642856478691101,0.6065086451449228
constrained,0,"biggrid50-goal(40,31)",task1,130,133120,0.9999998807907104,0.999999654363565
constrained,0,"biggrid50-goal(40,31)",task1,140,143360,0.9397957921028137,0.8254434040211689
constrained,0,"biggrid50-goal(40,31)",task1,150,153600,0.8877549171447754,0.6745556454786348
constrained,0,"biggrid50-goal(40,31)",task1,160,163840,0.8714284896850586,0.6272186618789107
constrained,0,"biggrid50-goal(40,31)",task1,170,174080,0.8775509595870972,0.6449702035470248
constrained,0,"biggrid50-goal(40,31)",task1,180,184320,0.948979377746582,0.8520703708869048
constrained,0,"biggrid50-goal(40,31)",task1,190,194560,0.9306120872497559,0.7988160915189978
constrained,0,"biggrid50-goal(40,31)",task1,200,204800,0.9061223268508911,0.7278102704829768
constrained,1,"biggrid50-goal(9,31)",local,10,215040,0.8561223745346069,0.34009333249496293
constrained,1,"biggrid50-goal(9,31)",local,20,225280,0.9551018476486206,0.7940708987968473
