method,task_idx,task,phase,iters,frames_phase,wall_s_phase,t_wall,frames_total
constrained,0,"biggrid50-goal(40,31)",task1,250,256000,50.9,53.006,256000
constrained,1,"biggrid50-goal(9,31)",local,150,153600,34.4,87.893,409600
constrained,1,"biggrid50-goal(9,31)",global,150,153600,61.2,149.517,563200
constrained,2,"biggrid50-goal(15,31)",local,150,153600,38.2,188.195,716800
constrained,2,"biggrid50-goal(15,31)",global,150,153600,65.6,254.308,870400
constrained,3,"biggrid50-goal(9,24)",local,150,153600,42.2,297.236,1024000
constrained,3,"biggrid50-goal(9,24)",global,150,153600,68.7,366.436,1177600
constrained,4,"biggrid50-goal(21,17)",local,250,256000,74.4,441.824,1433600
constrained,4,"biggrid50-goal(21,17)",global,150,153600,72.3,514.583,1587200
constrained,5,"biggrid50-goal(27,3)",local,250,256000,81.6,597.465,1843200
constrained,5,"biggrid50-goal(27,3)",global,150,153600,77.1,675.055,1996800
constrained,6,"biggrid50-goal(3,31)",local,250,256000,89.2,765.816,2252800
constrained,6,"biggrid50-goal(3,31)",global,150,153600,82.7,849.026,2406400
constrained,7,"biggrid50-goal(33,10)",local,150,153600,57.7,908.573,2560000
constrained,7,"biggrid50-goal(33,10)",global,150,153600,86.7,995.756,2713600
constrained,8,"biggrid50-goal(27,45)",local,250,256000,100.0,1097.803,2969600
constrained,8,"biggrid50-goal(27,45)",global,150,153600,88.8,1187.056,3123200
constrained,9,"biggrid50-goal(21,45)",local,250,256000,108.1,1297.447,3379200
constrained,9,"biggrid50-goal(21,45)",global,150,153600,95.0,1392.976,3532800
constrained,10,"biggrid50-goal(33,3)",local,150,153600,69.0,1464.595,3686400
constrained,10,"biggrid50-goal(33,3)",global,150,153600,99.0,1564.052,3840000
constrained,11,"biggrid50-goal(21,24)",local,150,153600,72.6,1639.532,3993600
constrained,11,"biggrid50-goal(21,24)",global,150,153600,103.2,1743.242,4147200
constrained,12,"biggrid50-goal(21,3)",local,250,256000,124.9,1871.216,4403200
constrained,12,"biggrid50-goal(21,3)",global,150,153600,105.6,1977.284,4556800
constrained,13,"biggrid50-goal(3,17)",local,250,256000,131.1,2111.701,4812800
constrained,13,"biggrid50-goal(3,17)",global,150,153600,110.0,2222.23,4966400
constrained,14,"biggrid50-goal(15,45)",local,150,153600,82.8,2308.618,5120000
constrained,14,"biggrid50-goal(15,45)",global,150,153600,114.2,2423.305,5273600
constrained,15,"biggrid50-goal(3,24)",local,250,256000,141.8,2568.858,5529600
constrained,15,"biggrid50-goal(3,24)",global,150,153600,117.4,2686.817,5683200
constrained,16,"biggrid50-goal(3,10)",local,250,256000,148.4,2839.196,5939200
constrained,16,"biggrid50-goal(3,10)",global,250,256000,202.7,3042.422,6195200
constrained,17,"biggrid50-goal(46,31)",local,250,256000,153.2,3199.821,6451200
constrained,17,"biggrid50-goal(46,31)",global,150,153600,123.3,3323.648,6604800
constrained,18,"biggrid50-goal(46,24)",local,250,256000,155.3,3483.29,6860800
constrained,18,"biggrid50-goal(46,24)",global,150,153600,127.4,3611.195,7014400
constrained,19,"biggrid50-goal(3,45)",local,250,256000,165.5,3781.321,7270400
constrained,19,"biggrid50-goal(3,45)",global,150,153600,131.0,3912.861,7424000
constrained,20,"biggrid50-goal(21,10)",local,250,256000,168.5,4086.205,7680000
constrained,20,"biggrid50-goal(21,10)",global,150,153600,135.1,4221.839,7833600
constrained,21,"biggrid50-goal(40,3)",local,150,153600,105.8,4332.759,7987200
constrained,21,"biggrid50-goal(40,3)",global,150,153600,142.3,4475.568,8140800
constrained,22,"biggrid50-goal(15,38)",local,250,256000,187.4,4668.425,8396800
constrained,22,"biggrid50-goal(15,38)",global,150,153600,146.5,4815.47,8550400
constrained,23,"biggrid50-goal(40,45)",local,250,256000,190.9,5012.059,8806400
