method,task,success_pct,success_ci,mean_steps,steps_ci
constrained,1,100.0,0.0,10.2,0.7
constrained,2,100.0,0.0,8.8,0.1
constrained,3,100.0,0.0,9.3,1.8
constrained,4,100.0,0.0,9.7,0.3
constrained,5,98.8,3.3,12.6,12.7
constrained,6,96.9,8.6,20.0,29.5
constrained,7,99.9,0.3,9.7,4.4
constrained,8,99.9,0.3,10.7,8.4
constrained,9,100.0,0.0,7.7,0.2
constrained,10,100.0,0.0,8.8,2.8
constrained,mean,99.6,0.9,10.8,0.0
unconstrained,1,100.0,0.0,12.0,4.6
unconstrained,2,99.9,0.3,11.1,6.6
unconstrained,3,100.0,0.0,9.1,0.8
unconstrained,4,100.0,0.0,10.4,2.1
unconstrained,5,90.1,21.0,45.3,63.8
unconstrained,6,90.4,26.6,27.0,50.6
unconstrained,7,100.0,0.0,7.6,2.1
unconstrained,8,100.0,0.0,7.8,1.1
unconstrained,9,99.8,0.6,14.8,12.3
unconstrained,10,69.8,3.5,119.0,5.0
unconstrained,mean,95.0,3.1,26.4,0.0
finetune,1,72.4,34.7,96.7,71.6
finetune,2,59.5,65.8,92.6,119.9
finetune,3,80.3,48.6,56.9,92.5
finetune,4,93.7,11.8,37.8,44.1
finetune,5,51.0,25.9,128.1,38.4
finetune,6,81.4,20.0,68.3,37.2
finetune,7,94.0,14.3,37.3,38.7
finetune,8,63.0,50.4,88.3,93.5
finetune,9,94.3,14.5,26.8,27.7
finetune,10,96.6,9.1,19.7,24.4
finetune,mean,78.6,14.1,65.3,0.0
joint,1,100.0,0.0,10.2,0.7
joint,2,100.0,0.0,8.9,0.3
joint,3,100.0,0.0,8.6,0.5
joint,4,100.0,0.0,9.6,0.1
joint,5,100.0,0.0,5.6,1.2
joint,6,100.0,0.0,7.8,0.1
joint,7,100.0,0.0,6.6,0.1
joint,8,100.0,0.0,7.1,0.2
joint,9,100.0,0.0,7.7,0.3
joint,10,100.0,0.0,6.9,0.4
joint,mean,100.0,0.0,7.9,0.0
