method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,0.8501,0.0207,99.7,2.4
constrained,2,0.8582,0.0069,100.0,0.8
constrained,3,0.848,0.0246,100.0,2.9
constrained,4,0.8464,0.0109,98.4,1.3
constrained,5,0.8356,0.1276,91.7,14.0
constrained,6,0.8001,0.182,90.3,20.6
constrained,7,0.8481,0.0455,96.2,5.2
constrained,8,0.8296,0.1158,93.7,13.1
constrained,9,0.8917,0.0143,100.0,1.6
constrained,10,0.8716,0.0349,96.9,3.9
constrained,mean,0.8479,0.0329,96.7,3.7
unconstrained,1,0.8264,0.0534,96.9,6.3
unconstrained,2,0.841,0.0302,98.0,3.5
unconstrained,3,0.8464,0.013,99.8,1.5
unconstrained,4,0.8353,0.0286,97.1,3.3
unconstrained,5,0.6166,0.3968,67.7,43.5
unconstrained,6,0.81,0.2009,91.5,22.7
unconstrained,7,0.8715,0.0397,98.9,4.5
unconstrained,8,0.8759,0.0282,99.0,3.2
unconstrained,9,0.7981,0.1474,89.5,16.5
unconstrained,10,0.2657,0.0609,29.5,6.8
unconstrained,mean,0.7587,0.0488,86.8,5.4
finetune,1,0.3878,0.3122,45.5,36.6
finetune,2,0.4504,0.5043,52.5,58.8
finetune,3,0.5664,0.3888,66.8,45.8
finetune,4,0.6481,0.2545,75.3,29.6
finetune,5,0.2702,0.1241,29.7,13.6
finetune,6,0.4707,0.1838,53.1,20.8
finetune,7,0.6517,0.2153,73.9,24.4
finetune,8,0.4473,0.3971,50.5,44.9
finetune,9,0.7086,0.2362,79.5,26.5
finetune,10,0.8161,0.1283,90.7,14.3
finetune,mean,0.5417,0.1153,61.8,13.5
joint,1,0.8528,0.0165,100.0,1.9
joint,2,0.8534,0.0113,99.4,1.3
joint,3,0.841,0.0196,99.2,2.3
joint,4,0.8606,0.0216,100.0,2.5
joint,5,0.9112,0.0161,100.0,1.8
joint,6,0.8856,0.0098,100.0,1.1
joint,7,0.8816,0.0084,100.0,1.0
joint,8,0.8851,0.0078,100.0,0.9
joint,9,0.8869,0.009,99.5,1.0
joint,10,0.8996,0.0159,100.0,1.8
joint,mean,0.8758,0.004,99.8,0.5
