method,task,success_pct,success_ci,mean_steps,steps_ci
constrained,1,27.3,7.7,35.3,1.9
constrained,2,21.0,5.2,37.1,1.4
constrained,3,13.7,1.8,39.1,0.9
constrained,4,21.3,3.0,38.4,1.1
constrained,5,21.3,6.8,37.8,2.2
constrained,6,29.3,11.2,35.5,3.1
constrained,7,20.7,5.7,37.9,1.6
constrained,8,26.7,6.9,36.0,1.8
constrained,9,19.7,5.3,37.4,1.3
constrained,10,27.7,6.1,34.4,2.3
constrained,11,6.0,3.7,42.2,1.0
constrained,12,23.7,5.1,36.4,1.3
constrained,13,22.3,8.9,37.0,2.2
constrained,14,26.7,5.9,36.3,1.7
constrained,15,19.3,7.4,38.8,1.8
constrained,16,23.7,5.8,36.7,1.5
constrained,17,23.0,5.0,37.0,1.4
constrained,18,17.0,5.0,39.7,1.4
constrained,19,16.0,4.2,38.8,1.2
constrained,20,22.0,9.2,37.9,2.5
constrained,mean,21.4,4.6,37.5,0.0
localfree,1,16.7,3.4,38.5,1.2
localfree,2,19.7,4.1,37.5,1.3
localfree,3,11.0,2.3,40.4,0.5
localfree,4,13.0,3.3,39.6,1.0
localfree,5,18.3,4.9,38.8,1.1
localfree,6,16.7,4.4,39.5,1.2
localfree,7,12.3,3.7,40.3,1.2
localfree,8,12.3,4.9,40.6,1.4
localfree,9,16.7,2.5,38.5,0.8
localfree,10,26.7,7.8,35.2,2.5
localfree,11,3.3,1.1,42.7,0.4
localfree,12,16.3,5.0,39.2,1.5
localfree,13,14.3,5.6,39.7,1.6
localfree,14,22.7,4.3,37.8,1.2
localfree,15,15.3,4.8,39.7,1.3
localfree,16,13.0,4.3,40.3,1.0
localfree,17,12.0,2.3,40.5,0.8
localfree,18,8.0,1.7,41.8,0.4
localfree,19,18.3,6.2,38.9,1.5
localfree,20,49.3,11.2,31.0,3.2
localfree,mean,16.8,3.1,39.0,0.0
finetune,1,10.0,2.2,40.2,0.7
finetune,2,11.0,5.0,40.4,1.6
finetune,3,6.3,3.6,41.7,1.2
finetune,4,8.7,5.3,41.3,1.9
finetune,5,11.0,7.6,40.6,2.3
finetune,6,10.3,7.5,41.3,2.3
finetune,7,10.0,5.5,41.3,1.6
finetune,8,5.7,2.5,42.3,0.9
finetune,9,12.0,3.0,40.1,1.2
finetune,10,17.0,9.4,37.9,3.1
finetune,11,2.3,2.0,43.1,0.7
finetune,12,7.7,4.4,41.9,1.5
finetune,13,10.3,5.8,40.8,2.0
finetune,14,13.3,7.3,40.4,2.0
finetune,15,7.7,4.5,41.9,1.2
finetune,16,5.7,2.5,42.4,0.7
finetune,17,7.3,3.7,41.5,1.3
finetune,18,5.3,1.7,42.4,0.5
finetune,19,7.3,3.7,41.8,1.2
finetune,20,27.0,20.0,36.4,5.6
finetune,mean,9.8,4.8,41.0,0.0
