method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,0.479,0.1196,100.0,25.0
constrained,2,0.9155,0.0979,100.0,10.7
constrained,3,0.9513,0.0826,100.0,8.7
constrained,4,0.8491,0.0961,100.0,11.3
constrained,5,0.5148,0.1339,100.0,26.0
constrained,6,0.5594,0.1449,100.0,25.9
constrained,7,0.9015,0.1118,100.0,12.4
constrained,8,0.8792,0.1189,97.5,13.2
constrained,9,0.7094,0.0821,100.0,11.6
constrained,10,0.8045,0.0776,100.0,9.6
constrained,11,0.4966,0.0777,100.0,15.6
constrained,12,0.6569,0.0849,100.0,12.9
constrained,13,0.7944,0.1101,100.0,13.9
constrained,14,0.6481,0.1343,100.0,20.7
constrained,15,0.8204,0.0641,100.0,7.8
constrained,16,0.4198,0.1484,100.0,35.4
constrained,17,0.475,0.0628,100.0,13.2
constrained,18,0.7781,0.1076,100.0,13.8
constrained,19,0.8636,0.0814,96.3,9.1
constrained,20,0.801,0.0944,61.0,7.2
constrained,mean,0.7159,0.0787,97.7,11.9
localfree,1,0.1736,0.1252,36.2,26.1
localfree,2,0.801,0.0803,87.5,8.8
localfree,3,0.8578,0.0587,90.2,6.2
localfree,4,0.711,0.0472,83.7,5.6
localfree,5,0.1962,0.2616,38.1,50.8
localfree,6,0.2524,0.1067,45.1,19.1
localfree,7,0.7972,0.0887,88.4,9.8
localfree,8,0.9019,0.0895,100.0,9.9
localfree,9,0.5672,0.1073,79.9,15.1
localfree,10,0.7095,0.0803,88.2,10.0
localfree,11,0.0688,0.1599,13.9,32.2
localfree,12,0.6078,0.0627,92.5,9.5
localfree,13,0.6952,0.0714,87.5,9.0
localfree,14,0.2821,0.1206,43.5,18.6
localfree,15,0.7391,0.0478,90.1,5.8
localfree,16,0.1828,0.2551,43.6,60.8
localfree,17,0.3906,0.0867,82.2,18.3
localfree,18,0.6864,0.1308,88.2,16.8
localfree,19,0.8965,0.1014,100.0,11.3
localfree,20,1.3139,0.1774,100.0,13.5
localfree,mean,0.5916,0.0697,73.9,11.5
finetune,1,-3.4109,2.3064,-712.1,481.5
finetune,2,0.7253,0.0945,79.2,10.3
finetune,3,0.7791,0.0794,81.9,8.4
finetune,4,0.6261,0.0842,73.7,9.9
finetune,5,-3.903,2.8495,-758.1,553.5
finetune,6,-2.8075,2.2548,-501.9,403.1
finetune,7,0.6789,0.0782,75.3,8.7
finetune,8,0.7733,0.1371,85.7,15.2
finetune,9,-2.323,1.8203,-327.4,256.6
finetune,10,0.2633,0.3186,32.7,39.6
finetune,11,-3.1442,2.0159,-633.1,405.9
finetune,12,-1.063,1.1162,-161.8,169.9
finetune,13,0.543,0.0977,68.4,12.3
finetune,14,-1.5795,1.2434,-243.7,191.8
finetune,15,0.5519,0.0566,67.3,6.9
finetune,16,-2.9537,2.0011,-703.6,476.7
finetune,17,-2.3751,2.1011,-500.0,442.3
finetune,18,-0.0377,0.5,-4.8,64.3
finetune,19,0.7632,0.0966,85.1,10.8
finetune,20,0.9447,0.3816,71.9,29.0
finetune,mean,-0.8474,0.9652,-191.3,177.6
