method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,1.4684,0.0,93.4,0.0
constrained,2,0.3438,0.0,26.2,0.0
constrained,3,0.875,0.0,13.5,0.0
constrained,4,0.825,0.0,27.3,0.0
constrained,mean,0.878,0.0,40.1,0.0
finetune,1,0.1982,0.0,12.6,0.0
finetune,2,0.2708,0.0,20.6,0.0
finetune,3,0.7583,0.0,11.7,0.0
finetune,4,2.1542,0.0,71.2,0.0
finetune,mean,0.8454,0.0,29.0,0.0
joint,1,1.5717,0.0,100.0,0.0
joint,2,1.3125,0.0,100.0,0.0
joint,3,6.475,0.0,100.0,0.0
joint,4,3.025,0.0,100.0,0.0
joint,mean,3.0961,0.0,100.0,0.0
