method,task,final_value,final_ci,retention_pct,retention_ci
constrained,1,2.2414,0.4683,90.4,18.9
constrained,2,0.7871,0.7715,100.0,98.0
constrained,3,1.6516,0.7061,29.0,12.4
constrained,4,1.5383,0.3638,27.8,6.6
constrained,mean,1.5546,0.2833,61.8,26.0
localfree,1,2.4807,0.6621,100.0,26.7
localfree,2,0.5703,0.3747,72.5,47.6
localfree,3,1.0937,0.8047,19.2,14.1
localfree,4,1.5744,0.9521,28.4,17.2
localfree,mean,1.4298,0.275,55.0,11.4
finetune,1,0.2471,0.1422,10.0,5.7
finetune,2,0.0801,0.0851,10.2,10.8
finetune,3,5.6984,2.3947,100.0,42.0
finetune,4,5.5344,2.038,100.0,36.8
finetune,mean,2.89,0.8582,55.0,13.2
